ORDEM DO MêRITO AERONµUTICO;;;;;;;;;;;
;;;;;;;;;;;
INS÷GNIAS - INSTITUIÄÂES;;;;;;;;;;;
;;;;;;;;;;;
(Atualizada atÇ Outubro de 2019);;;;;;;;;;;
;;;;;;;;;;;
NR;SIGLA_ORG;DESCRIÄ«O;INSTITUIC«O;CATEG;DT_INSIG;DT_DOU;REG;;;;
100;11¯ RCAV;DÇcimo Primeiro Regimento de Cavalaria;ExÇrcito;Bandeira;15/10/1963;16/10/1963;1193;;;;
101;DAC;Departamento de Aviaá∆o Civil;Aeron†utica;Estandarte;11/09/1996;12/09/1996;7117;;;;
102;DECEA;Departamento de Controle do Espaáo AÇreo;Aeron†utica;Estandarte;26/09/2005;27/09/2005;9472;;;;
103;DECEX;Departamento de Educaá∆o e Cultura do ExÇrcito;ExÇrcito;Estandarte;21/10/2011;24/10/2011;;;;;
104;DEPENS;Departamento de Ensino da Aeron†utica;Aeron†utica;Estandarte;05/09/1988;20/09/1988;5308;;;;
105;DEPED;Departamento de Pesquisas e Desenvolvimento;Aeron†utica;Estandarte;23/09/1997;24/09/1997;7126;;;;
106;DCI;Dep¢sito Central de Intendància;Aeron†utica;Estandarte;16/09/1986;22/09/1986;4937;;;;
107;DARJ;Dep¢sito de Aeron†utica do Rio de Janeiro;Aeron†utica;Estandarte;16/09/1986;22/09/1986;4813;;;;
108;DTCEA SM;Destacamento de Controle do Espaáo AÇreo de Santa Maria;Aeron†utica;Estandarte;21/10/2011;24/10/2011;;;;;
109;DIRAP;Diretoria de Administraá∆o do Pessoal;Aeron†utica;Estandarte;18/09/1991;25/09/1991;;;;;
110;DIRAERMAR;Diretoria de Aeron†utica da Marinha;Marinha;Estandarte;06/09/2004;08/09/2004;9232;;;;
111;DEPV;Diretoria de Eletrìnica e Proteá∆o ao Vìo;Aeron†utica;Estandarte;14/10/1992;15/10/1992;6264;;;;
112;DIRENG;Diretoria de Engenharia da Aeron†utica;Aeron†utica;Bandeira;18/08/1991;25/09/1991;;;;;
113;DIRINT;Diretoria de Intendància da Aeron†utica;Aeron†utica;Estandarte;21/09/1995;22/09/1995;;;;;
114;DIRMA;Diretoria de Material da Aeron†utica;Aeron†utica;Bandeira;18/09/1991;25/09/1991;;;;;
115;DIRSA;Diretoria de Sa£de da Aeron†utica;Aeron†utica;Estandarte;07/10/1994;13/10/1994;;;;;
116;DSM;Diretoria de Sa£de da Marinha;Marinha;Estandarte;30/09/2010;01/10/2010;11062;;;;
117;DGMM;Diretoria-Geral do Material da Marinha;Marinha;Estandarte;18/06/1968;22/09/2019;14263;;;;
118;DLR;DLR - Centro Aeroespacial Alem∆o;Governo da Alemanha;Bandeira;28/10/2013;28/10/2013;12111;;;;
119;EAer-Ex FR;Escola de Aeron†utica do ExÇrcito do Ar Francàs;ExÇrcito Francàs;Bandeira;22/04/1949;23/04/1949;104;;;;
120;EAer-UR;Escola de Aeron†utica do Uruguai;Foráa AÇrea Uruguaia;Bandeira;03/09/1948;;70;;;;
121;EAOAR;Escola de Aperfeiáoamento de Oficiais da Aer.;Aeron†utica;Estandarte;20/10/1967;20/10/1967;1654;;;;
