Posto/Quadro/Qualificação; Nome;Nº Portaria;Data Portaria
Maj Dent;Fabio Gozzi;649/SCGC;43230
Cel Av;Fábio Guillermo Lugo Peñalosa;;27246
SO QSS BET;Fábio Guimarães Cendon;596/SC;38875
Maj QOENG;Fábio Henrique Campos Cruz;728/SCGC;43598
Maj Av;Fabio Henrique Da Cunha Bazilius;566/SCGC;43969
Assessor Parlamentar;Fábio Henrique De Azevedo Guimarães;566/SCGC;43969
Maj Eng ;Fabio Henrique Lameiras Pinto;968/SC;41428
1S QSS SGS;Fabio Humberto Coêlho Cozzi;566/SCGC;43969
3S QSS SAD;Fábio Isidório dos Santos;877/SCGC;41789
Senhor;Fábio José de Oliveira;271/SC;40682
Maj QOEAV ;Fabio José de Souza Rocha Tavares;728/SCGC;43598
Cap QOEA GDS R/1;Fabio José dos Reis;341/SC;40323
Maj Esp Com R/1;Fabio José Duarte;271/SC;40682
Cap QOEA CTA;Fabio José Marques de Oliveira;649/SCGC;43230
Senhor;Fábio José Vieira de Sousa;;33389
Maj Av;Fabio Leandro Alves dos Santos;877/SCGC;41789
Cap Esp Av;Fábio Lima de Oliveira;461/SC;39958
Cap Int;Fabio Lopes e Silva;262/SC;41058
Maj Méd;Fábio Lopes Teixeira;;24114
Maj Av;Fabio Lourenço Carneiro Barbosa;565/SCGC;42513
Maj Av;Fábio Luís Cuzziol;262/SC;41058
Cap QOEA CTA;Fabio Luis de Paula Ramos;649/SCGC;43230
Maj Av;Fábio Luís Morau;423/SC;39610
Maj Av;Fábio Luis Ridão Valentim;649/SCGC;43230
Maj Av;Fábio Luiz Barbosa Rastelli;262/SC;41058
1S QSS BCO;Fabio Luiz Domingos Costa;728/SCGC;43598
Maj Av ;Fabio Luiz Santos Do Amparo;798/SCGC;42886
SO QSS SEL;Fabio Lunardi Antunes;566/SCGC;43969
Cel PM (MG);Fábio Manhães Xavier;341/SC;40323
CF ;Fábio Marcelo Dias;798/SCGC;42886
3S QSS BMA;Fábio Marinho Freire;461/SC;39958
1S QSS SAD;Fabio Martins;566/SCGC;43969
Maj Int;Fábio Martinski Ferreira da Silva;423/SC;39610
Professor;Fábio Márton Costa Santos;;30483
SO QSS BFT;Fábio Mendes de Barros;271/SC;40682
1S QSS SEM;Fábio Mendes de Oliveira;728/SCGC;43598
Segundo Secretário;Fábio Moreira Carbonell Farias;341/SC;40323
Cel Inf (Ex);Fábio Negrão De Souza;566/SCGC;43969
Maj Av;Fábio Nobrega do Rosário;565/SCGC;42513
Cap QOECTA;Fabio Nunes De Oliveira;566/SCGC;43969
Cap QOEA CTA;Fabio Pacheco;649/SCGC;43230
Cel Av;Fábio Pereira da Silveira;;29011
Maj Av;Fabio Pires Vieira;721/SCGC;29/05/2015
Cel Av;Fábio Ponte Pinheiro;596/SC;38875
Desembargador Federal;Fábio Prieto de Souza;721/SCGC;29/05/2015
Maj Esp Com;Fábio Quaresma de Almeida;271/SC;40682
SO QSS SGS;Fábio Ramos Martins;565/SCGC;42513
Maj Av;Fábio Reith Werneck;461/SC;39958
Empresário;Fabio Rezende Sicilia;410/SC;37033
1S QSS BCO;Fábio Ribeiro Alves;;28306
Cel Inf;Fábio Roberto Vargas;408/SC;37399
SO QSS SOB ;Fábio Rodrigues Vieira Tinoco;968/SC;41428
Cel Av  R/1;Fabio Rogério Dutra Sucena;;35228
Cel Av R/1;Fábio Sahm Paggiaro;408/SCC;35969
1S QSS BET ;Fábio Sampaio Peres;798/SCGC;42886
Ten Cel Esp CTA;Fabio Santiago de Gouvea;565/SCGC;42513
Ten Cel Av;Fábio Santos da Rocha Loures;341/SC;40323
Maj Av;Fábio Santos de Vasconcelos;341/SC;40323
Ten Cel Cav;Fabio Serpa de Carvalho Lima;877/SCGC;41789
Maj Inf;Fábio Silveira de Lima;877/SCGC;41789
V Alte;Fábio Soares Carmo;;30848
SO QSS SGS;Fábio Tenório dos Santos;877/SCGC;41789
Cap QOEA SVE ;Fabio Teofilo da Silva;968/SC;41428
Ministro de Segunda Classe ;Fábio Vaz Pitaluga;968/SC;41428
1º Ten Esp Com;Fabio Veríssimo de Lima;271/SC;40682
SO QSS BMA;Fabio Viana de Souza;649/SCGC;43230
Cel Av R/1;Fábio Viriato de Freitas;;32659
SO QSS SEL;Fabio Wagner de Oliveira;341/SC;40323
Maj QODENT;Fábio Wanderson Moutinho;728/SCGC;43598
Repórter da TV Globo DF;Fábio William Silva;461/SC;39958
Analista em C&T;Fabiola Guimarães Monteiro Ledo;877/SCGC;41789
Procuradora;Fabiola Inez Guedes de Castro Saldanha;341/SC;40323
2S QSS SAD;Fabíola Mendonça Nicolau Hoffmann;721/SCGC;29/05/2015
3S QSS BCT;Fabíula Nogueira dos Santos;271/SC;40682
SO QSS BMA;Fabricio Adriano Vaz Alarcão;877/SCGC;41789
1S QSS BSP;Fabricio Batalha Forte;728/SCGC;43598
Maj Av;Fabricio Calomeno Machado;262/SC;41058
Cap Av ;Fabrício Carvalho;968/SC;41428
Cap Dent;Fabrício Dias de Souza;565/SCGC;42513
SO QSS BCO;Fabrício Dias Junior;423/SC;39610
Maj Av;Fabricio Ferreira de Sá;565/SCGC;42513
Ten Cel Eng;Fabricio José Saito;388/SC;39248
1S QSS BCO;Fabricio Monteiro Vaz;877/SCGC;41789
Maj Av;Fabricio Nery Fernandes;649/SCGC;43230
1S QSS BEI;Fabricio Pereira Vernetti;566/SCGC;43969
Maj Av;Fabricio Picolli Portela;721/SCGC;29/05/2015
Maj Inf;Fabricio Renato Penitente;877/SCGC;41789
1S QSS BSP;Fabricio Sebastião do Nascimento Almeida;728/SCGC;43598
Maj QOEAV;Fabricio Strohschein Maschke;728/SCGC;43598
Maj Dent;Fabrizia Henriques Bonates;566/SCGC;43969
Maj QODENT;Fabrizio Vendramin;728/SCGC;43598
Piloto Privado;Fadi Sami Younes;721/SCGC;29/05/2015
Ten Cel Esp Av;Fagime Jocota;;31945
Senhora;Fanie Ofugi Rodrigues Miranda;388/SC;39248
Professora;Fanny Garcia;;20828
Ten Cel Esp Met;Farid Cezar Chede;;24114
SO QSS SEF;Farlley Jorge Lourenço Derze;271/SC;40682
SO QSS BMA;Farrel Rosendo Campos da Silva;341/SC;40323
Tecnologista Pleno;Fatima Aparecida Pedro;721/SCGC;29/05/2015
Senadora (RO);Fátima Cleide Rodrigues da Silva;341/SC;40323
Maj QFO AQT R/1;Fátima de Moura Raposo;531/SC;37782
Civil;Fátima Gomes Bernardes Bonemer;461/SC;39958
Ministra de Segunda Classe (MRE);Fatima Keiko Ishitani;565/SCGC;42513
Deputada Federal (AP);Fátima Lúcia Pelaes;423/SC;39610
Ministra (STJ);Fátima Nancy Andrighi;408/SCC;35969
Cel PM (PA);Faustino Antonio Gonçalves Neto;327/SCC;36665
Cap Esp Com;Faustino Sieczco;;32659
SO QSS BCO;Fausto Baccaro;;21205
Maj QOEFOT;Fausto Batista Mendonça;728/SCGC;43598
Senhor;Fausto Guimarães de Almeida;;21931
Cel Av R1;Fausto Ivan Barbosa;388/SC;39248
Ten Cel Méd;Fausto José dos Santos Soares;;27941
Doutor;Fausto Junqueira de Paula;;34131
Senhor;Fausto Madeira Bastos;;20836
Ministro de 2ª Classe;Fausto Orlando Campello Coelho;327/SCC;36665
Ten Cel Esp Fot;Fausto Pereira de Souza;;27204
Doutor;Fausto Pontes;;32659
SO QSS BMT;Fausto Souto Ribeiro;;26115
Presidente (TJPE);Fausto Valença de Freitas;;30118
Cap QOEAV;Fausto Zaghetti Junior;566/SCGC;43969
Doutor;Fávila Ribeiro;;25758
Professor;Favorino Bastos Mércio;;25399
Senhor;Fedelino Concetto Pacífico;;33024
Maj Av;Federico Casanovas;;21801
Embaixador;Federico Gutierrez Granier;;20828
Senhor;Federico Hilbck S.;;22188
C Alte;Federico Oscar Lebel Baptista;461/SC;39958
Gen;Federico San Juan Rosales;649/SCGC;43230
Piloto;Felici Fenili;;24114
Doutor;Feliciano de Abreu e Silva;;23937
SO QSS BMA;Feliciano Ferreira Gomes;;23209
Senhor;Felício Cavali;;20828
SO QSS BMA;Felício Gerardi Negri;;28306
Gen Bda;Felício Martins de Lima;;20839
Senador;Felinto Müller;;20836
Cel Av;Felipe Alberto Bastos Siaudzionis;687/SC;38525
Cap Med;Felipe Alcoforado Barroso Braga;461/SC;39958
Cap QOESUP;Felipe Ávila da Silva Artmann;649/SCGC;43230
Maj Inf;Felipe Barbosa Alvarenga;566/SCGC;43969
Ten Cel Farm;Felipe Birman;;34516
Cap Av;Felipe Bombarda Guedes;565/SCGC;42513
Maj Av;Felipe Bottino Menario;566/SCGC;43969
Advogado;Felipe Cascaes Sabino Bresciani;566/SCGC;43969
Deputado Federal;Felipe Catalão Maia;877/SCGC;41789
Ten Cel Av;Felipe Cruz Velasco;461/SC;39958
Maj Av;Felipe da Silva Ribeiro;649/SCGC;43230
Senhor;Felipe Daruich Neto;423/SC;39610
Maj Av;Felipe de Faria Scheer;649/SCGC;43230
Cel Av;Felipe de Nazareth Corrêa Serra;;28671
Maj Esp Met;Felipe do Souto de Sá Gille;388/SC;39248
Coronel;Felipe Doroteo Monterroso Miranda;;25045
Advogado da União;Felipe Ferreira Libardi;877/SCGC;41789
Conselheiro (MRE);Felipe Flores Pinto;565/SCGC;42513
Maj Av;Felipe Francisco Espinha;721/SCGC;29/05/2015
Conselheiro (MRE) ;Felipe Gastão Bandeira de Mello;798/SCGC;42886
Doutor;Felipe Gomez Perez;;30118
Ten Cel Ex;Felipe Jorge da Silva;;28671
Maj Av;Felipe Koeller Rodrigues Vieira;341/SC;40323
Cel Cav;Felipe Ledo Nogueira Alves;721/SCGC;29/05/2015
Maj Av;Felipe Lopes Da Silva;566/SCGC;43969
Cap Inf;Felipe Magalhães Castro;877/SCGC;41789
Maj Av;Felipe Moreira Faulhaber;565/SCGC;42513
SO QSS BMA ;Felipe Nery de Azevedo Monteiro;798/SCGC;42886
Senhor;Felipe Nery Lins;;25399
Senhor;Felipe Oscar Sampaio Gomes de Almeida;649/SCGC;43230
SO QSS SOB;Felipe Pereira Serpa Pinto;;24114
CT;Felipe Picco Paes Leme;721/SCGC;29/05/2015
Senhor;Felipe Ribeiro Naveca;667/SC;38160
Senhor;Felipe Wagner;;27204
Ten Cel Av;Felippe Carlos Ferraiolo Agostini;461/SC;39958
CMG;Felippe José Macieira Ramos;566/SCGC;43969
SO (MO-SB);Felisberto Gaspar da Costa;262/SC;41058
Maj Esp Av;Felisberto Jesus de Souza Viríssimo;;34131
SO QSS SEF;Felisberto Prata Neto;;23937
2º Ten Esp CTA;Felismino de Holanda Maia;;25758
Cel Av R1;Félix Antônio Oliveira Sousa;461/SC;39958
Conselheiro;Félix Baptista de Faria;;27575
Doutor;Félix Carvalho Schimitt;;23013
Maj Brig Ar;Félix Celso Hienolmayer de Macedo;;23209
Deputado Federal (BA);Félix de Almeida Mendonça;341/SC;40323
Doutor;Félix Lopez Cid;;31945
Senhor;Felix Paulo Ferreira da Silva;;25758
Senhor;Félix Pereira da Silva;388/SC;39248
Doutor;Félix Ricardo Gonçalves Moutinho;;33024
Doutor;Félix Romeo Braun;;31945
Senhor;Fenelon Joaquim do Livramento;;28671
Gen Bda;Ferdinando de Carvalho;;28306
Cel Av;Ferdinando Muniz de Farias;;24670
CC;Ferdinando Verardy Miranda Filho;;24114
Ten Cel (USAF);Ferer Regui;;23943
Cel Ex (Int);Feres Frade de Salles;;32295
Maj Dent;Fernanda Al-Behy Andre;566/SCGC;43969
1S QSS SAD;Fernanda Brandão de Oliveira;728/SCGC;43598
Senhora;Fernanda Costa Bernardes;877/SCGC;41789
Senhora;Fernanda Maria de Queiroz Studart;;29388
Advogada;Fernanda Pereira Costa Silva;566/SCGC;43969
Engenheiro;Fernando Abrão Rebelo;;34131
Doutor;Fernando Affonso Gay da Fonseca;;29388
Cap Av;Fernando Aikawa;409/SCC;35969
Ten Cel Av;Fernando Alberto Coelho de Magalhães;;30118
Senhor;Fernando Alencar Pinto;;25758
Ten Cel Med;Fernando Almeida dos Santos;341/SC;40323
Cel Av;Fernando Almeida Riomar;327/SCC;36665
2S QSS SAD;Fernando Alves;;27575
2S (Mar);Fernando Alves Camelo;;31215
Civil;Fernando Amaral Quental;461/SC;39958
Ten Cel Int;Fernando Angotto de Oliveira;667/SC;38160
CT;Fernando Antônio Borges Fortes de Athayde Bohrer;;29753
Doutor;Fernando Antônio da Silveira Rocha;;30483
Cel Av;Fernando Antônio da Veiga Jordão;;29011
SO QSS STP;Fernando Antonio de Lima;262/SC;41058
Maj Esp Com;Fernando Antônio de Oliveira;388/SC;39248
C Alte (FN);Fernando Antonio de Siqueira Ribeiro;461/SC;39958
SO QSS BMA;Fernando Antônio dos Santos;;27575
SO QSS SAD;Fernando Antonio dos Santos Gomes;687/SC;38525
Ten Cel Ex;Fernando Antônio Drubsky de Campos;;33024
Brig Ar R/1;Fernando Antônio Fernandes Cima;;29753
Doutor;Fernando Antônio Gomes;;31580
Ten Cel Int Ref;Fernando Antônio Gomes Bitton;;31215
SO QSS BMA;Fernando Antonio Juca de Queiroz Campos;423/SC;39610
Ten Cel Av;Fernando Antônio Martins Marques;;34131
Engenheiro ;Fernando Antonio Mendes Reis;798/SCGC;42886
Ten Cel Av;Fernando Antônio Rodrigues Dias;667/SC;38160
Professor;Fernando Antônio Souza Benerguy;;34131
Brig Ar;Fernando Antônio Tacca de Andrade;;30848
Civil;Fernando Antonio Torres Garcia;461/SC;39958
Embaixador;Fernando Apparicio Da Silva;566/SCGC;43969
1º Ten Av;Fernando Arahy Baptista;;29388
SO QSS BEI;Fernando Arruda Ribeiro;271/SC;40682
Maj Int;Fernando Augusto Cavalcante Rangel;;23565
Ten Cel Int;Fernando Augusto de Oliveira Neves;;34516
Cel (Ex);Fernando Augusto Guimarães Ministério;;34516
Cel Ex;Fernando Augusto Lopes;;28886
CT;Fernando Augusto Marinho Sampaio;;25045
Maj Capl;Fernando Augusto Sabino;877/SCGC;41789
Professor;Fernando Augusto Silva Marins;408/SCC;35969
Cel Av;Fernando Aurélio Salomão Alves;;31215
CMG;Fernando Azeredo de Aguiar;271/SC;40682
Gen Bda;Fernando Azevedo e Silva;;33758
Cel Av;Fernando Baldini Benevides;388/SC;39248
Senhor;Fernando Bandeira de Melo;;32659
SO QSS SGS;Fernando Bastos Mello;;34131
Doutor;Fernando Bastos Ribeiro de Castro;;29753
Cel Int;Fernando Batista;;29011
Gen Bda;Fernando Belchior de Oliveira Filho;;26115
Gen Ex;Fernando Belford Bethlem;;25758
Maj Eng ;Fernando Benitez Leal;968/SC;41428
Ministro da Integração Nacional;Fernando Bezerra de Souza Coelho;271/SC;40682
Cel Av;Fernando Braga Mafra Magalhães;;25758
Cap Av;Fernando Campos Montenegro;877/SCGC;41789
Professor;Fernando Candido da Silva Pereira;;31580
Deputado Estadual (SP);Fernando Capez;262/SC;41058
Ten Cel Int;Fernando Cardoso Vidal Junior;341/SC;40323
Ten Cel Av;Fernando Cardoza Risco;;23399
Senhor;Fernando Carlos Becker;408/SCC;35969
Comodoro (D);Fernando Carlos Bruno;461/SC;39958
CMG;Fernando Carlos Catta Preta Baumeier;;30483
CF;Fernando Carlos Chagas Diniz;;29388
Cap QOEA SVM- R1;Fernando Carlos de Souza Pimentel;531/SC;37782
Cel Av;Fernando Carlos dos Santos Fernandes;;30118
Senhor;Fernando Carlos Wanderley Rocha;423/SC;39610
CF;Fernando Carneiro Magnavita;;25758
V Alte;Fernando Carvalho Chagas;;27204
1S QSS SAD;Fernando Castanheira Rodrigues;408/SC;37399
Ten Cel Av;Fernando Castrilho Pena;;22003
Doutor;Fernando Cavalcante Bizarro;;33024
Senhor;Fernando Cavalcante Mota Filho;596/SC;38875
Desembargador;Fernando Celso Guimarães;;34131
SO QSS BMA;Fernando Cesar Batista dos Santos;728/SCGC;43598
Doutor;Fernando César Bittencourt Berenguer;;20836
Ten Cel Av;Fernando Cesar da Costa e Silva Braga;596/SC;38875
Cel Av;Fernando César da Silva;;34516
C Alte (FN);Fernando Cesar da Silva Motta;271/SC;40682
Maj Brig Ar Ref;Fernando Cesar de Oliveira;;26115
Ten Cel Av R/1;Fernando Cesar Manfrin;596/SC;38875
Senhor;Fernando Cesar Mendes Barbosa;327/SCC;36665
Brig Eng;Fernando Cesar Pereira Santos;531/SC;37782
Cel Av  R1;Fernando César Ventura Pereira;388/SC;39248
Cel Int;Fernando Cezar Corrêa D' Oliveira;410/SC;37033
1º Ten Esp Aer SVM;Fernando Cezar Correa Maciel Maia;565/SCGC;42513
SO QSS SAD;Fernando Cezar Octávio de Carvalho;667/SC;38160
Coronel R/1 (EB);Fernando Chrysostomo Suppa;667/SC;38160
C Alte;Fernando Coelho Bruzzi;;31215
Ten Cel Av R/1;Fernando Cominato de Lima;423/SC;39610
Cel (Colômbia);Fernando Correa Duque;566/SCGC;43969
2º Ten QOEA;Fernando Corrêa Lima;;29388
1S QSS BCO;Fernando Cruvinel de Carvalho;423/SC;39610
Cap (Ref);Fernando Cruz da Silva;;29388
SO QSS SAD;Fernando Custódio de Oliveira;667/SC;38160
Cap QOEMet ;Fernando da Costa Pereira;968/SC;41428
Cel Av R/1;Fernando da Cunha Machado Costa;;30848
Doutor;Fernando da Silva;;26843
Cel Ex;Fernando da Silva Abrantes;;23937
Ten Cel Méd;Fernando da Silva Cuesta;;34844
Cel Ex;Fernando da Silva Machado;;22635
Senhor;Fernando da Silva Marques;;22635
Senhor;Fernando da Silva Mota;370/SCC;36307
Ministro de Estado;Fernando Damata Pimentel;271/SC;40682
Ten Cel Int;Fernando D'Austria e Caravellas;;30483
3S QTA TCO;Fernando David Ribeiro Melo;388/SC;39248
1º Ten Esp MET;Fernando de Abreu Pinto;388/SC;39248
Senhor;Fernando de Albuquerque Lima;596/SC;38875
Maj Int;Fernando de Almeida Lopes;461/SC;39958
Maj Av;Fernando de Almeida Silva;649/SCGC;43230
Ten Brig Ar;Fernando de Almeida Vasconcellos;;24714
Senhor;Fernando de Arruda Botelho;;29388
Ten Brig Ar;Fernando de Assis Martins Costa;;24114
SO QSS BEI;Fernando de Assis Prado;461/SC;39958
Cel (Ex);Fernando de Barros e Azevedo;;26115
Senhor;Fernando de Carvalho;;28306
Ten Cel Ex;Fernando de Lima Santos;;31580
Conselheiro;Fernando de Mello Vidal;410/SC;37033
Maj Av;Fernando De Melo Nunes;566/SCGC;43969
Maj Av;Fernando de Mendonça;;24114
Maj Méd;Fernando de Menezes Cavalcanti;;32295
CF;Fernando de Noronha Baratta;;23399
Doutor;Fernando de Oliveira;;24800
Ten Cel Inf;Fernando de Oliveira Araújo;;26843
SO QSS BMA;Fernando de Oliveira Miranda;721/SCGC;29/05/2015
Cap Esp CTA;Fernando de Souza Armstrong;271/SC;40682
SO QSS SAD;Fernando de Souza Carvalho;388/SC;39248
Ten Cel Int;Fernando de Souza Chaves;388/SC;39248
Maj Esp Av;Fernando de Souza Cruz;262/SC;41058
Ten Cel Inf (Ex);Fernando Deon de Aquino;531/SC;37782
Ten Cel Av;Fernando Dias Coelho Capuano;271/SC;40682
Ten Cel Ex;Fernando Dias da Silva;;30848
Cel Inf (Ex);Fernando Dias Herzer;877/SCGC;41789
SO QSS BMA;Fernando Didier Moraes;;23209
V Alte (FN);Fernando do Nascimento;;28306
Senhor;Fernando do Valle Pavan;341/SC;40323
Ten Cel Int;Fernando D'Oliveira;;30483
SO QSS SEM;Fernando D'Oliveira Filho;687/SC;38525
CF;Fernando Domingues Júnior;;30118
1º Ten QOEA SVM;Fernando Dos Santos Cordeiro;566/SCGC;43969
SO Ref  ;Fernando dos Santos Henriques;968/SC;41428
CMG;Fernando dos Santos Lizardo;;28671
Almirante-de-Esquadra;Fernando Eduardo Studart Wiemer;408/SC;37399
Alte Esq;Fernando Ernesto Carneiro Ribeiro;;26843
Cap Av;Fernando Ernesto Olivier Guimarães;;23209
Senhor ;Fernando Eugênio Silva;968/SC;41428
SO QSS SGS;Fernando Favero;721/SCGC;29/05/2015
Ten Cel Av;Fernando Fernandes Castanheira da Silva;596/SC;38875
Maj Av ;Fernando Fernandes de Castro;798/SCGC;42886
Deputado;Fernando Ferrari;;20836
1S QSS SAD;Fernando Ferreira de Souza;;30848
Jornalista;Fernando Ferreira Sampaio;;30848
Senhor;Fernando Figueiredo de Abranches;;23390
1S QSS SGS;Fernando Fonseca de Carvalho;;24299
Ten Cel Esp Arm;Fernando Fonseca Huergo;;29388
SO QSS BMA;Fernando Fontes Coelho;408/SCC;35969
1S QSS BMA;Fernando Francisco de Paula;596/SC;38875
Cap Eng;Fernando Franklin Correia;;33389
1º Ten QOEA;Fernando Frassão;271/SC;40682
Cap (Ex);Fernando Frederico Coelho de Castro;;22635
CF (IM);Fernando Freitas Seabra de Mello;;29753
Doutor;Fernando Gama Rodrigues;;31215
1º Ten Esp CTA;Fernando Garcia Pfütze;423/SC;39610
Cel Cav R/1 ;Fernando Garrone Palma Velloso;968/SC;41428
Doutor;Fernando Gasparian;;22635
Cel Dent;Fernando Gil Pereira Felga;341/SC;40323
Cel Int;Fernando Gomes;;23937
Maj QOEMET;Fernando Gonçalves Brandão;649/SCGC;43230
Cel PM (RJ);Fernando Gonçalves Cabral;;32295
2º Ten Esp Av Ref;Fernando Gonçalves de Azevedo;;32659
Cel Inf;Fernando Goulart Barreto;;32295
3S QESA SEM;Fernando Guilherme da Costa;461/SC;39958
Arquiteto;Fernando Guilherme de Abreu Rangel;687/SC;38525
Gen Ex;Fernando Guimarães de Cerqueira Lima;;25758
Ten Cel Av;Fernando Guimarães Pantoja;;23565
Ministro;Fernando Guimarães Reis;;30483
Senhor;Fernando Gusmão de Araújo;;33758
Prefeito ;Fernando Haddad;968/SC;41428
Cel Av;Fernando Henrique Marques Palermo;;22635
Procurador Regional da República;Fernando Henrique Oliveira de Macedo;;34131
Maj Med ;Fernando Henriques Furtado;968/SC;41428
SO QSS BEI;Fernando Heuseler;341/SC;40323
Cel Av;Fernando Hippólyto da Costa;;23750
Doutor;Fernando Hugo de Albuquerque Guimarães;400/SCC;35593
Cap (Ex);Fernando Ignácio de Almeida Corsini;;25045
Cap (Ex);Fernando Infantini;;26115
Cel;Fernando Javier Atala Cifuentes;461/SC;39958
Cap QOEA CTA;Fernando João do Nascimento;721/SCGC;29/05/2015
Ten Cel Méd;Fernando Jorge Magalhães Couto;;31215
CF;Fernando José Andrade Pastor Almeida;;29424
Cap Farm;Fernando José Campice de Oliveira;461/SC;39958
Cel Int;Fernando José Chagas Pena;;26843
Doutor;Fernando José Curiel Rodriguez;;29388
SO QSS SAD;Fernando José da Cruz Soares;327/SCC;36665
Senhor;Fernando José de Moraes;;34131
Maj Ex;Fernando José de Oliveira Cerqueira;;30848
Doutor;Fernando José dos Santos Paredes;;22550
Cel Capl;Fernando José dos Santos Teixeira;271/SC;40682
Cel Int R/1;Fernando José Fonseca Alves;327/SCC;36665
Prefeito;Fernando José Guimarães Rocha;;33389
Gen Bda;Fernando José Lavaquial Sardemberg;423/SC;39610
Ministro-de-Segunda-Classe;Fernando José Marroni de Abreu;531/SC;37782
Assessor;Fernando José Pereira Cavalcante;566/SCGC;43969
1S QSS SAD;Fernando José Pinto da Silva;408/SC;37399
Cel Av R/1;Fernando José Rongel Lisboa;327/SCC;36665
Senhor;Fernando José Sampaio Guimarães;;25758
SO QSS BEI;Fernando José Santos Gonçalves;687/SC;38525
Ten Cel Ex;Fernando José Silvestre do Couto;;30118
Brig Med;Fernando José Teixeira de Carvalho;388/SC;39248
1º Ten QOEA;Fernando Julião;;33389
3S QESA SAD;Fernando Kalil Sombra Nogueira;531/SC;37782
Ten Cel Av;Fernando Komatsu;667/SC;38160
Procurador da República;Fernando Lacerda Dias;565/SCGC;42513
Cel;Fernando Lambás Pérez;877/SCGC;41789
Cel Ex;Fernando Landazabal Reyes;;26126
Cel Méd;Fernando Leitão Alves da Cunha;;29388
Ten Cel Av;Fernando Levy;;22297
Jornalista;Fernando Licarião de Mello;;20836
Cel Int;Fernando Lima Guedes;;27941
SO QSS BMA;Fernando Lopes dos Santos;461/SC;39958
Maj Av;Fernando Lopes Wiedemann;;30118
SO QSS BSP;Fernando Loureiro Junior;596/SC;38875
Doutor;Fernando Lourenco Fernandes;;33758
Maj Av ;Fernando Lucas Soares Corrêa;798/SCGC;42886
Doutor;Fernando Lúcio Lessa;;30118
SO QSS SML;Fernando Luis Correia;423/SC;39610
SO QSS BMA;Fernando Luis de Abreu;341/SC;40323
Ten Cel Av;Fernando Luis Volkmer;388/SC;39248
SO QSS BSP;Fernando Luiz Barbosa dos Santos;423/SC;39610
Senhor;Fernando Luiz Barcellos;596/SC;38875
Economista;Fernando Luiz Bicudo;649/SCGC;43230
Senhor;Fernando Luiz Cunha Rocha;531/SC;37782
Jornalista;Fernando Luiz da Câmara Cascudo;;30118
Senhor;Fernando Luiz da Cunha;;29388
Tecnologista Sênior (IAE)      ;Fernando Luiz Ferreira de Azevedo;565/SCGC;42513
V Alte;Fernando Luiz Pinto da Luz Furtado de Mendonça;;29011
Senhor;Fernando Luiz Telles Richard;;23550
Maj Brig Ar Ref;Fernando Luiz Verçosa Serôa da Motta;;26476
Senhor;Fernando Luna da Silva;531/SC;37782
Cap Esp Av;Fernando Lynch de Mello Mendes Bezerra;;25045
Cap Med;Fernando Mallet Soares Parago;271/SC;40682
V Alte;Fernando Manoel Fontes Diégues;;32295
Engenheiro;Fernando Manuel Cardoso Tôrres;;23750
Cel (Portugal);Fernando Manuel De Pinho Damásio;566/SCGC;43969
SO QSS BET;Fernando Marcelino de Oliveira;687/SC;38525
Cel Av;Fernando Márcio de Almeida;;33758
Empresário ;Fernando Márcio Mozzato Queiroz;798/SCGC;42886
Ten Cel Eng;Fernando Marcus da Rocha Cerqueira;461/SC;39958
S Ten COM;Fernando Marques Borges;728/SCGC;43598
Ten Cel Art;Fernando Marques de Freitas;596/SC;38875
Cel PA (Portugal);Fernando Marques do Nascimento Rijo;341/SC;40323
Ten Cel Eng;Fernando Marques Junior;461/SC;39958
Cel Int;Fernando Marques Queiroz;;29753
Cel Méd;Fernando Martins Mendes;;23209
Doutor;Fernando Martins Seidl;;20836
CC;Fernando Maurício de Moraes Sarmento;;26843
Maj Inf;Fernando Mauricio Gomes;721/SCGC;29/05/2015
C Alte;Fernando Mauro Barbosa de Oliveira;687/SC;38525
Senhor;Fernando Mauro de Souza;531/SC;37782
Cel Av;Fernando Mauro Medardoni;877/SCGC;41789
Cap Esp Av;Fernando Mendes Filho;;26115
Maj Brig Ar;Fernando Mendes Nogueira;;27204
V Alte;Fernando Mendonça da Costa Freitas;;24727
Ten Cel Eng;Fernando Miranda do Carmo;388/SC;39248
Comandante;Fernando Miró Quesada;;21890
Cel Av;Fernando Monteiro de Oliveira Júnior;341/SC;40323
CF;Fernando Moraes Batista da Costa;;25045
Cel Av;Fernando Moura Correia;;31945
Cel Art (URUGUAI);Fernando Moura Suárez;565/SCGC;42513
Cel Av;Fernando Moy Romarioni;;31945
Cap QOEA R/1;Fernando Muro;271/SC;40682
Ten Cel Av (EQUADOR);Fernando Napoleon Teran Chiriboga;565/SCGC;42513
Cel Av;Fernando Nepomuceno Cerdeira;;28306
3S QESA SAD;Fernando Neto Feitosa;877/SCGC;41789
SO QSS BMA;Fernando Neves Gonçalves;;26843
1S QSS SAD;Fernando Nogueira Da Silva;566/SCGC;43969
Maj Ex;Fernando Nogueira Salis;;26843
Cel Av;Fernando Nogueira Ventura;461/SC;39958
Senhor;Fernando Nunes Tavares;566/SCGC;43969
Ten Cel Av;Fernando Oliveira de Miranda;388/SC;39248
Cap Esp Sup Téc;Fernando Oscar Miranda;;28306
Cel Méd;Fernando Pacheco Boureau;;27941
Coronel;Fernando Paraud Dubreil;;21492
