SO QSS BSP;LUIZ GONZAGA BATISTA FILHO;(Cavaleiro)
Maj Brig Ar;LUIZ RICARDO DE SOUZA NASCIMENTO;(Grande-Oficial)
Desembargador;MAIRAN GONÇALVES MAIA JÚNIOR;(Comendador)
SO QSS BEI;MARCELLO DO NASCIMENTO LIMA;(Cavaleiro)
Cel Av;MARCELLO LOBÃO SCHIAVO;(Oficial)
Cel Av;MARCELO ALVIM AGRÍCOLA;(Cavaleiro)
Cel Av;MARCELO BATISTA;(Oficial)
Capelão;MARCELO COELHO ALMEIDA;(Cavaleiro)
Cel Av;MARCELO DA SILVA RIBEIRO;(Cavaleiro)
SO QSS SEL;MARCELO FERREIRA SERRA;(Cavaleiro)
Brig Ar;MARCELO FORNASIARI RIVERO;(Comendador)
Alte Esq;MARCELO FRANCISCO CAMPOS;(Grande-Oficial)
Cel Av;MARCELO MAGRINELLI;(Cavaleiro)
SO (FN-IF);MARCELO MONTANINI;(Cavaleiro)
Cel Av;MARCELO MORENO;(Oficial)
Cel Int;MARCELO NUNES DE ALENCAR;(Cavaleiro)
Cap QOEA COM;MARCELO PADILHA DOS SANTOS;(Cavaleiro)
Cel Av;MARCELO RODRIGUES DOS REIS PONTES;(Cavaleiro)
Secretário-Executivo;MARCELO SAMPAIO CUNHA FILHO;(Comendador)
Cel Dent;MARCIA BERTOLOSSI HIRATA;(Cavaleiro)
SO QSS SGS;MARCIO ANTONIO PIRES FREITAS;(Cavaleiro)
Maj Brig Ar;MARCIO BRUNO BONOTTO;(Grande-Oficial)
Cel Av;MARCIO HENRIQUE SANTOS DA COSTA;(Cavaleiro)
Senador (AC);MÁRCIO MIGUEL BITTAR;(Grande-Oficial)
SO QSS SMU;MARCIO VIEIRA OUVERNEY;(Cavaleiro)
C Alte;MARCO ANTONIO ISMAEL TROVÃO DE OLIVEIRA;(Comendador)
Cel Inf (EB);MARCOS AMERICO VIEIRA PESSÔA;(Oficial)
Gen Div;MARCOS ANDRÉ DA SILVA ALVIM;(Grande-Oficial)
SO QSS BMA;MARCOS ANTONIO FERNANDES FERREIRA;(Cavaleiro)
SO QSS BET;MARCOS AURÉLIO BERNINI;(Cavaleiro)
Cel Av;MARCOS AURÉLIO VILELA VALENÇA;(Oficial)
V Alte;MARCOS BORGES SERTÃ;(Grande-Oficial)
Senhor;MARCOS ERNESTO ZARZUR;(Oficial)
SO QSS BCO;MARCOS PAULO RODRIGUES;(Cavaleiro)
SO QSS BMA;MARCOS RENATO RANGEL FREITAS;(Cavaleiro)
SO QSS BCO;MARCOS RODRIGUES MANSO;(Cavaleiro)
Cel Int;MARCUS TÚLIO DE ARAÚJO;(Oficial)
Desembargadora;MARIA DO CARMO CARDOSO;(Grande-Oficial)
Cel Med;MARIA LÚCIA DE ANDRADE FELIX;(Cavaleiro)
Cel Med;MARIA MONICA DE VASCONCELOS QUEIROGA;(Cavaleiro)
Senhora;MARÍLIA RAMOS CHAVES;(Oficial)
Cel QOEFOT;MÁRIO CELSO TEIXEIRA LOPES;(Cavaleiro)
Gen Bda;MARIO FERNANDES;(Comendador)
Cel Med;MARIO SERGIO PINEDA GUERRA;(Cavaleiro)
Cel Av;MATEUS BARROS DE ANDRADE;(Cavaleiro)
Cel Av;MAURICIO BETTEGA SEIXAS PINTO;(Cavaleiro)
Cel Med;MAURICIO RIBEIRO BRAGA;(Cavaleiro)
Cel Av;MAURÍCIO TEIXEIRA LEITE;(Oficial)
Cel Med;MAURO AMIM SAB;(Cavaleiro)
Maj Brig Int;MAURO FERNANDO COSTA MARRA;(Grande-Oficial)
Cel Av;MAURO HENRIQUE MONSANTO DA FONSECA E SOUZA;(Oficial)
SO QSS BMA;MAURO NUNES DE SOUZA;(Cavaleiro)
Senhor;MAX RODRIGO TOMAZ DE AQUINO ELIAS;(Cavaleiro)
Cel Int;MICHAEL SILVA DA CUNHA;(Cavaleiro)
Embaixadora;MITZI GURGEL VALENTE DA COSTA;(Grande-Oficial)
Gen Bda;MOACIR RANGEL JUNIOR;(Comendador)
Cel Int;NAZARENO CORREIA PEREGRINO;(Cavaleiro)
C Alte (IM);NELSON MÁRCIO ROMANELI DE ALMEIDA;(Comendador)
Cel Av;NILO SERGIO MACHADO DE AZEVEDO;(Oficial)
Embaixador;NORBERTO MORETTI;(Grande-Oficial)
Cel Av;OCTACÍLIO GIOVANNINI FILHO;(Oficial)
Cel Av;OSCAR BOECHAT ALVES JÚNIOR;(Cavaleiro)
SO QSS SAD;OSMAR DOS SANTOS ARANTES;(Cavaleiro)
Diretor;OSVALDO MATOS DE MELO JÚNIOR;(Comendador)
Diretor;OSWALDO PAIVA DA COSTA GOMIDE;(Cavaleiro)
Cel (El Salvador);PABLO ALBERTO SORIANO CRUZ;(Grande-Oficial)
Cap QAO;PASUR CAVALCANTI TENÓRIO;(Cavaleiro)
V Alte;PAULO CÉSAR COLMENERO LOPES;(Grande-Oficial)
Cel Av;PAULO CESAR LEITE VICTOR;(Oficial)
Senhor;PAULO CESAR MARIO MOVIZZO;(Oficial)
Cel Av;PAULO CEZAR FISCHER DA SILVA;(Cavaleiro)
Embaixador;PAULO ESTIVALLET DE MESQUITA;(Grande-Oficial)
SO QSS BEP;PAULO JOSÉ PIRES DE MIRANDA;(Cavaleiro)
Maj Gen (PORTUGAL);PAULO JOSÉ REIS MATEUS;(Grande-Oficial)
Cel PM (SP);PAULO LUIZ SCACHETTI JUNIOR;(Oficial)
Alte Esq (FN);PAULO MARTINO ZUCCARO;(Grande-Oficial)
Secretário;PAULO RICARDO GRAZZIOTIN GOMES;(Oficial)
Cel QOEMET;PAULO ROBERTO BASTOS DE CARVALHO;(Cavaleiro)
Maj Brig Ar;PAULO ROBERTO DE BARROS CHÃ;(Grande-Oficial)
Cel Av;PAULO ROBERTO DE CARVALHO JÚNIOR;(Oficial)
Gen Div;PAULO ROBERTO DE OLIVEIRA;(Grande-Oficial)
Cel Av;PAULO ROGERIO SOBRINHO;(Oficial)
Cel Av;PAULO SERGIO DOS ANJOS CUNHA;(Oficial)
CMG;PEDRO LIMA SILVA FILHO;(Oficial)
Ministro de Estado (SUÉCIA);PETER HULTQVIST;(Grande-Oficial)
2º Ten QAO;PETER PAUL AOKI;(Cavaleiro)
Alte Esq;PETRONIO AUGUSTO SIQUEIRA DE AGUIAR;(Grande-Oficial)
Senhora;POLYANA RODRIGUES DE ALMEIDA LIMA;(Oficial)
Cel Av;RAFAEL BEVILAQUA MENDES;(Cavaleiro)
Maj Brig Ar;RAIMUNDO NOGUEIRA LOPES NETO;(Grande-Oficial)
V Alte;RALPH DIAS DA SILVEIRA COSTA;(Grande-Oficial)
Brig Ar;RAMIRO KIRSCH PINHEIRO;(Comendador)
Ten Gen (PERU);RAÚL HOYOS DE VINATEA;(Grande-Oficial)
Brig Eng;RAYMUNDO UBIRAJARA DA FONSECA SALGADO JUNIOR;(Comendador)
Cel Av;REGIS AUGUSTO AZEVEDO PEROBA;(Oficial)
SO QSS SAD;REINALDO DE SOUZA;(Cavaleiro)
Embaixador;REINALDO JOSÉ DE ALMEIDA SALGADO;(Grande-Oficial)
Cel Av;RENATO LEAL LEITE;(Cavaleiro)
V Alte (FN);RENATO RANGEL FERREIRA;(Grande-Oficial)
Maj Inf (EB);REYNALDO RANGEL JUNIOR;(Cavaleiro)
Cel Av;RICARDO FEIJÓ PINHEIRO;(Oficial)
C Alte (FN);RICARDO HENRIQUE SANTOS DO PILAR;(Comendador)
Maj Brig Ar;RICARDO JOSÉ FREIRE DE CAMPOS;(Grande-Oficial)
Gen Bda;RICARDO JOSÉ NIGRI;(Comendador)
Cel Av;RICARDO LUIZ DANTAS DE BRITO;(Oficial)
Gen Div;RICARDO RODRIGUES CANHACI;(Grande-Oficial)
Gen Div;RIYUZO IKEDA;(Grande-Oficial)
SO QSS SAD;ROANITO SANTOS DA SILVA;(Cavaleiro)
Cel Av;ROBERTO BARROS DE OLIVEIRA;(Oficial)
Senador (MA);ROBERTO COELHO ROCHA;(Grande-Oficial)
Cel Av;ROBERTO DA CUNHA FOLLADOR;(Oficial)
Deputado Federal (SP);ROBERTO SEBASTIÃO PETERNELLI JÚNIOR;(Grande-Oficial)
Cel Int;ROBERTO SERGIO DO NASCIMENTO PINHEIRO;(Cavaleiro)
SO QSS BEI;ROBERTO SIMOES DA MOTA;(Cavaleiro)
Chanceler;ROBINSON GRANGEIRO MONTEIRO;(Cavaleiro)
