ORD;QUALIFICAÇÃO;AGRACIADO;PORTARIA;DATA
10754;Segundo-Sargento QSS SAD;Luciano Belarmino Reis;58/SC;14/02/2012
10755;Segundo-Sargento SAD;Luciano Bilhão;81/SC;07/02/2011
10756;Suboficial QSS BET;Luciano Borges Müller;130/SCGC;03/02/2014
10757;Primeiro-Sargento QSS BET;Luciano Buriti do Nascimento;10/SCGC;10/01/2019
10758;Segundo-Sargento BCO;Luciano Caetano Ferreira;81/SC;07/02/2011
10759;Suboficial QSS BEI;Luciano Cardoso Tiburcio Da Silva;1.659/SCGC;21/12/2016
10760;Primeiro-Sargento QSS SEF;Luciano Carlos Mota;2/SCGC;06/01/2020
10761;Suboficial BCT;Luciano Carvalho;81/SC;07/02/2011
10762;Suboficial QSS BMA;Luciano Carvalho dos Santos;107/SC;25/02/2010
10763;Primeiro-Sargento QSS SAD;Luciano Cassemiro dos Santos;051/SCC;26/02/1993
10764;Suboficial QSS BEI;Luciano Cibella Ramos;58/SC;14/02/2012
10765;Segundo-Sargento QSS BMB;Luciano Coutinho de Souza;130/SCGC;03/02/2014
10766;Subtenente de Intendência;Luciano da Silva Batista;10/SCGC;10/01/2019
10767;Sargento Primeiro  ;Luciano David Elgueda Reyes;1.659/SCGC;21/12/2016
10768;Terceiro-Sargento QTA TAR;Luciano de Andrade Correa;189/SC;07/02/2013
10769;Primeiro-Sargento BMA;Luciano de Araujo Bastos;81/SC;07/02/2011
10770;Primeiro-Sargento QSS SEM;Luciano de Castro Belo;10/SCGC;10/01/2019
10771;Suboficial QSS SDE;Luciano de Jesus Almeida;870/SCC;20/12/1991
10772;Primeiro-Sargento QSS SAD;Luciano Dionísio da Silva;113/SCC;28/02/2000
10773;Segundo-Sargento QSS SGS;Luciano Domingos Nunes;1.659/SCGC;21/12/2016
10774;Soldado BM (MT);Luciano dos Reis Lemes;107/SC;25/02/2010
10775;Suboficial QSS BFT;Luciano dos Santos Barbosa;107/SC;25/02/2009
10776;Subtenente de Cavalaria;Luciano Duarte Barcellos;189/SC;07/02/2013
10777;Primeiro-Sargento de Cavalaria;Luciano Dutra Welter;29/SCGC;29/01/2016
10778;Segundo-Sargento QSS BMA;Luciano Elvis Cezário;182/SCGC;18/02/2015
10779;Suboficial QSS BEI;Luciano Ferreira Lima;58/SC;14/02/2012
10780;Suboficial QSS BMA;Luciano Gamba da Silva;106/SC;21/02/2007
10781;Suboficial QSS BSP;Luciano Gomes de Lima;130/SCGC;03/02/2014
10782;Segundo-Sargento SAD;Luciano Gomes de Mello;81/SC;07/02/2011
10783;Suboficial QSS BCO;Luciano Guimarães Cabral;130/SCGC;03/02/2014
10784;Capitão QOEA SVA ;Luciano Guimarães de Oliveira;193/SCC;20/02/1995
10785;Senhor;Luciano Henrique da Silva Oliveira;2/SCGC;06/01/2020
10786;Suboficial BMA;Luciano Jorge Moreira;81/SC;07/02/2011
10787;Primeiro-Tenente QOEA;Luciano José Coutinho;160/SCC;16/03/1994
10788;Segundo-Sargento QSS BET;Luciano José Lima Silva;58/SC;14/02/2012
10789;Taifeiro de Segunda Classe QTA TVA;Luciano José Marinho de Melo;1813/SCC;20/12/1984
10790;Suboficial QSS BMA;Luciano Lomonaco;086/SCC;20/01/1983
10791;Primeiro-Sargento QSS SAD;Luciano Lopes Moraes;048/SCC;18/01/1996
10792;Segundo-Sargento QSS BSP;Luciano Luiz Fardin;247/SC;06/03/2006
10793;Suboficial ;Luciano Luiz Gioppo;107/SC;25/02/2010
10794;Primeiro-Sargento QSS BMA;Luciano Malaquias da Silva;130/SCGC;03/02/2014
10795;Cabo QCB SEL;Luciano Marques de Souza Silva;189/SC;07/02/2013
10796;Segundo-Sargento QSS SAD;Luciano Marques Ferreira;58/SC;14/02/2012
10797;Senhor;Luciano Moura Castro Do Nascimento;1.659/SCGC;21/12/2016
10798;Primeiro-Sargento QSS SAD;Luciano Nunes de Sena Filho;10/SCGC;10/01/2019
10799;Segundo-Sargento (AV-RV);Luciano Oliveira Souza;189/SC;07/02/2013
10800;Segundo-Sargento QSS SAD;Luciano Pereira de Souza;202/SC;18/02/2004
10801;Suboficial QSS BET;Luciano Pessôa;2/SCGC;06/01/2020
10802;Suboficial QSS BMA;Luciano Predes Teixeira da Silva;58/SC;14/02/2012
10803;Segundo-Sargento QSS SAD;Luciano Rodrigues Vieira;247/SC;06/03/2006
10804;Primeiro-Sargento QSS SAD;Luciano Silva da Silva;29/SCGC;29/01/2016
10805;Primeiro-Sargento QSS SAD;Luciano Simões Pinto;141/SC;19/02/2002
10806;Suboficial QSS BMA;Luciano Soares de Oliveira;1813/SCC;20/12/1984
10807;Primeiro-Sargento QSS SAD;Luciano Sousa de Araujo;182/SCGC;18/02/2015
10808;Segundo-Sargento QSS SGS;Luciano Souza da Silva;58/SC;14/02/2012
10809;Suboficial QSS BMA;Luciano Tonetto;80/SC;26/02/2008
10810;Capitão;Luciano Vieira Gonçalves;116/SCC;20/01/1984
10811;Suboficial QSS BCT;Lucídio Nereu Duarte Filho;90/SCC;22/02/1999
10812;Primeiro-Sargento QSS SAD;Luciene Marques Dos Santos Arantes;1.659/SCGC;21/12/2016
10813;Primeiro-Sargento QSS SAD;Luciene Tostes Cardoso;182/SCGC;18/02/2015
10814;Suboficial QSS SGS;Lucimar Alves Gomes;113/SC;22/02/2001
10815;Senhor;Lucimar Dourado Calife Batista;048/SCC;18/01/1996
10816;Terceiro-Sargento QESA SGS;Lucimar Valeriano de Oliveira;051/SCC;26/02/1993
10817;Cabo QCB SAD;Lucimário Mizael de Paula;051/SCC;26/02/1993
10818;Primeiro-Sargento QSS SEL;Lucinaldo Pereira de Souza;6/SCGC;08/01/2018
10819;Capitão QOEA SVE;Lucindo Damálio;1172/SCC;15/12/1987
10820;Capitão QOEA COM;Lucio Alexandre Cavalcante;116/SCC;20/01/1984
10821;Suboficial QSS BMT;Lúcio Cortez de Almeida;98/SCC;18/02/1998
10822;Suboficial QSS SAD;Lúcio de Abreu;160/SCC;16/03/1994
10823;Senhor;Lúcio de Sena;160/SCC;16/03/1994
10824;Capitão;Lúcio dos Santos Gomes Ferreira;051/SCC;26/02/1993
10825;Taifeiro de Segunda Classe QTA TAR;Lúcio Flávio Teixeira;051/SCC;26/02/1993
10826;Senhor;Lúcio Mauro Grossi;58/SC;14/02/2012
10827;Suboficial QSS SAD;Lúcio Mendes dos Santos;98/SCC;18/02/1998
10828;Suboficial QSS SDE;Lúcio Nascimento Mainart;100/SCC;20/02/1997
10829;Suboficial QSS SAD;Lucio Silva da Costa;58/SC;14/02/2012
10830;Taifeiro de Primeira Classe QTA TAR;Lucionel Flávio Valois;1813/SCC;20/12/1984
10831;Senhor;Lucival Avelino de Oliveira;931/SCC;12/12/1989
10832;Suboficial QSS SEL;Lucival Félix de Souza;051/SCC;26/02/1993
10833;Primeiro-Sargento QSS SEL;Lucival Guimarães da Costa;1172/SCC;15/12/1987
10834;Subtenente de Infantaria;Lucivando da Silva Rodrigues;182/SCGC;18/02/2015
10835;Taifeiro de Segunda Classe QTA TAR;Lucrécio Augusto da Silva;051/SCC;26/02/1993
10836;Senhora;Lucy Caldas Fonseca;1057/SCC;20/12/1985
10837;Senhora;Lucy Rocha de Souza Chaves;086/SCC;20/01/1983
10838;Primeiro-Sargento QSS SAD;Lucylene Gomes de Mendonça;2/SCGC;06/01/2020
10839;Senhor;Ludgero Marques da Costa;092/SCC;20/01/1982
10840;Suboficial QSS BCT;Ludgero Schmigel;161/SC;21/02/2003
10841;Suboficial QSS BCT;Ludinir Picelli;160/SCC;16/03/1994
10842;Segundo-Sargento QSS BSP;Ludmila Netto de Carvalho Vital;29/SCGC;29/01/2016
10843;Suboficial QSS SAD;Luid Cardoso Barros;90/SCC;22/02/1999
10844;Primeiro-Sargento QSS SAD;Luis Airton Hunhoff;90/SCC;22/02/1999
10845;Segundo-Sargento QSS SEL;Luis Alberto Alves;189/SC;07/02/2013
10846;Terceiro-Sargento QSS SAR;Luís Alberto Brendler;113/SCC;28/02/2000
10847;Segundo-Sargento (Chile);Luis Alberto Chavarriga Fuentes;051/SCC;26/02/1993
10848;Primeiro-Sargento BSP;Luis Alberto da Costa;81/SC;07/02/2011
10849;Suboficial QSS SEM;Luis Alberto de Lira Eiras;58/SC;14/02/2012
10850;Segundo-Sargento QTA TCO;Luís Alberto de Souza;130/SCGC;03/02/2014
10851;Segundo-Sargento TAR;Luis Alberto dos Santos;107/SC;25/02/2010
10852;Suboficial Principal;Luís Alberto Gras;81/SC;07/02/2011
10853;Suboficial QSS BMA;Luís Alberto Loredo;182/SCGC;18/02/2015
10854;Primeiro-Sargento BCT;Luis Alberto Marquetti;81/SC;07/02/2011
10855;Suboficial QSS BET;Luís Alberto Remedi Ximenes;113/SCC;28/02/2000
10856;Suboficial QSS BMA;Luís Alberto Soares;182/SCGC;18/02/2015
10857;Primeiro-Sargento QSS SGS;Luis Alberto Sousa Ferreira;58/SC;14/02/2012
10858;Senhor;Luis Alejandro Zapata Pairazamán;130/SCGC;03/02/2014
10859;Suboficial BCT;Luis Alfredo Pereira;81/SC;07/02/2011
10860;Primeiro-Sargento QSS BMA;Luis Andre dos Santos da Cruz;6/SCGC;08/01/2018
10861;Segundo-Sargento QSS SEL;Luis Andre Garcia da Silva;29/SCGC;29/01/2016
10862;Suboficial QSS BCT;Luis Andre Missio;29/SCGC;29/01/2016
10863;Terceiro-Sargento QESA SEM;Luís André Silva;107/SC;25/02/2009
10864;Técnico;Luis Angel Polin Vallejos;130/SCGC;03/02/2014
10865;Suboficial QSS BEI;Luís Antonio Amaral;189/SC;07/02/2013
10866;Suboficial BEP;Luis Antonio Barbosa Balbino;80/SC;26/02/2008
10867;Suboficial R/1;Luis Antonio Bomfim da Silveira;58/SC;14/02/2012
10868;Subtenente de Manutenção de Comunicações;Luis Antonio Braga dos Santos Vieira;107/SC;25/02/2009
10869;Suboficial QSS SMU;Luis Antonio da Silva;10/SCGC;10/01/2019
10870;Primeiro-Sargento QSS SEM;Luis Antonio da Silva Villas;160/SCC;16/03/1994
10871;Suboficial QSS BET;Luís Antônio Marreiro da Silva;113/SC;22/02/2001
10872;Suboficial QSS BMA;Luis Antonio Martins;107/SC;25/02/2009
10873;Suboficial QSS SDE;Luís Antônio Nonato;100/SCC;20/02/1997
10874;Primeiro-Sargento (Chile);Luis Antonio Parra Martinez;931/SCC;12/12/1989
10875;Suboficial QSS BCO;Luis Antonio Pereira Mendes;182/SCGC;18/02/2015
10876;Suboficial BMA;Luis Antonio Verona;107/SC;25/02/2010
10877;Suboficial QSS BSP;Luis Antonio Vila Nova;100/SCC;20/02/1997
10878;Cabo QCB;Luis Arancibia Moraga;;02/05/1988
10879;Segundo-Sargento QSS SEM;Luis Augusto da Silva Alves;182/SCGC;18/02/2015
10880;Senhor;Luís Barnabé Barbosa;113/SCC;28/02/2000
10881;Senhor;Luis Bartolo Rivas;81/SC;07/02/2011
10882;Primeiro-Sargento QSS BSP;Luis Carlos Alves;1172/SCC;15/12/1987
10883;Suboficial QSS BEV;Luis Carlos Alves Ferreira;204/SC;22/02/2005
10884;Terceiro-Sargento QTA TAR;Luis Carlos Barboza de Almeida;160/SCC;16/03/1994
10885;Cabo QCB SGS;Luis Carlos Berengue;113/SC;22/02/2001
10886;Primeiro-Sargento QSS BSP;Luís Carlos Bruno dos Santos;968-A/SCC;14/12/1990
10887;Primeiro-Sargento de Cavalaria;Luís Carlos Calegaro;1.659/SCGC;21/12/2016
10888;Suboficial QSS BET;Luís Carlos Cordeiro Monteiro;202/SC;18/02/2004
10889;Primeiro-Sargento QSS SAD;Luis Carlos da Silva;113/SCC;28/02/2000
10890;Cabo QCB SEM;Luís Carlos da Silva;107/SC;25/02/2009
10891;Suboficial QSS BMT;Luis Carlos da Silva Beserra;29/SCGC;29/01/2016
10892;Primeiro-Sargento QSS BET;Luis Carlos de Campos Lisbôa;182/SCGC;18/02/2015
10893;Subtenente de Artilharia;Luis Carlos de Carvalho;247/SC;06/03/2006
10894;Terceiro-Sargento QSS BSP;Luis Carlos de Lima;189/SC;07/02/2013
10895;Cabo QCB SAD;Luís Carlos de Lima;931/SCC;12/12/1989
10896;Suboficial QSS BEI;Luís Carlos de Souza;968-A/SCC;14/12/1990
10897;Suboficial QSS BCT;Luis Carlos Duarte Martins;113/SC;22/02/2001
10898;Suboficial QSS SEL;Luís Carlos Ferreira Barbosa;051/SCC;26/02/1993
10899;Suboficial QSS BMA;Luis Carlos Ferreira Gomes;160/SCC;16/03/1994
10900;Terceiro-Sargento QSS BMA;Luis Carlos Geraldo da Silva;1172/SCC;15/12/1987
10901;Suboficial QSS BET;Luís Carlos Martins Müller;161/SC;21/02/2003
10902;Suboficial (EL-SB);Luis Carlos Oliveira;10/SCGC;10/01/2019
10903;Primeiro-Sargento QSS BMA;Luís Carlos Paukstys;931/SCC;12/12/1989
10904;Suboficial QSS SEM;Luís Carlos Rodrigues Mariz Sarmento;1194/SCC;15/12/1986
10905;Segundo-Tenente QOEA COM;Luis Carlos Rufino de Souza;107/SC;25/02/2010
10906;Primeiro-Sargento QSS SAD;Luis Carlos Salvador de Souza;29/SCGC;29/01/2016
10907;Cabo QCB SGS;Luis Carlos Santos França;98/SCC;18/02/1998
10908;Primeiro-Sargento QSS SEM;Luis Carlos Silva Grilo;100/SCC;20/02/1997
10909;Subtenente de Comunicações;Luis Carlos Silveira Lemes;10/SCGC;10/01/2019
10910;Primeiro-Sargento QSS SMU;Luis Carlos Simão;193/SCC;20/02/1995
10911;Suboficial QSS SAD;Luis Carlos Sousa Cruz;90/SCC;22/02/1999
10912;Suboficial QSS BMA;Luis Carlos Toffanelo;107/SC;25/02/2009
10913;Suboficial QSS BFT;Luís Cesar Teixeira;160/SCC;16/03/1994
10914;Primeiro-Sargento QSS BSP;Luis Claudio Abreu Nogueira;2/SCGC;06/01/2020
10915;Segundo-Sargento QSS SAD;Luís Cláudio Casemiro Moura;870/SCC;20/12/1991
10916;Primeiro-Sargento QSS BCT;Luis Claudio da Silva;6/SCGC;08/01/2018
10917;Suboficial QSS SEL;Luis Claudio Leite Ferreira;182/SCGC;18/02/2015
10918;Suboficial QSS BSP;Luis Claudio Longo Moraes;10/SCGC;10/01/2019
10919;Senhor;Luis Cláudio Mallorca Natal;141/SC;19/02/2002
10920;Senhor;Luís Cláudio Monteiro;204/SC;22/02/2005
10921;Terceiro-Sargento de Infantaria;Luis Claudio Monteiro da Silva;80/SC;26/02/2008
10922;Segundo-Sargento (ES);Luís Cláudio Pessanha;106/SC;21/02/2007
10923;Suboficial QSS SEF;Luis Claudio Queiroz Diniz;107/SC;25/02/2009
10924;Primeiro-Sargento QSS BMB;Luis Claudio Sanches;113/SCC;28/02/2000
10925;Primeiro-Sargento QSS BCO;Luis Claudio Soares Rodrigues;247/SC;06/03/2006
10926;Capitão QOEA COM;Luís de Souza Vieira;204/SC;22/02/2005
10927;Suboficial SGS;Luis Felipe de Andrade Neumamm;81/SC;07/02/2011
10928;Primeiro-Sargento QSS SGS;Luis Felipe Martins Dias;1.659/SCGC;21/12/2016
10929;Suboficial QSS BMA;Luis Fernando Adolpho;161/SC;21/02/2003
10930;Primeiro-Sargento QSS BET;Luis Fernando Chiavegati;29/SCGC;29/01/2016
10931;Primeiro-Sargento QSS SEL;Luis Fernando da Silva Furtado;182/SCGC;18/02/2015
10932;Suboficial QSS BMA;Luis Fernando Da Silva Machado;1.659/SCGC;21/12/2016
10933;Suboficial QSS SGS;Luis Fernando de Oliveira;047/SCC;20/01/1981
10934;Suboficial QSS BMA;Luis Fernando dos Santos Antunes;247/SC;06/03/2006
10935;Suboficial QSS BET;Luis Fernando Mafra;182/SCGC;18/02/2015
10936;Terceiro-Sargento QTA TAR;Luis Fernando Pires de Sousa;141/SC;19/02/2002
10937;Suboficial QSS BMA ;Luís Fernando Portela;113/SC;22/02/2001
10938;Suboficial QSS BFT;Luis Fernando Ribeiro Motta;189/SC;07/02/2013
10939;Primeiro-Sargento QSS BMA;Luis Flavio Souza Rocha;107/SC;25/02/2009
10940;Suboficial QSS BMA;Luís Florentino de Moura Filho;1172/SCC;15/12/1987
10941;Suboficial QSS BMA;Luis Francisco de Oliveira;870/SCC;20/12/1991
10942;Primeiro-Sargento QSS SAD;Luís Francisco de Souza Andrade;113/SC;22/02/2001
10943;Primeiro-Sargento QSS BCO;Luis Gustavo Carvalho;204/SC;22/02/2005
10944;Suboficial QSS SAD;Luís Henrique da Silva;106/SC;21/02/2007
10945;Suboficial QSS SAD;Luis Henrique Ferreira;160/SCC;16/03/1994
10946;Senhor;Luís Henrique Silva de Melo;80/SC;26/02/2008
10947;Terceiro-Sargento QESA SEM;Luis Inacio Bahia;58/SC;14/02/2012
10948;Suboficial QSS BMB;Luis Inocente Junior;106/SC;21/02/2007
10949;Senhor;Luís Lourenço Filgueiras;106/SC;21/02/2007
10950;Segundo-Sargento QSS SGS;Luís Maurício Barboza Leite;189/SC;07/02/2013
10951;Primeiro-Sargento QSS BEV;Luís Meibom Prates;113/SC;22/02/2001
10952;Terceiro-Sargento QESA SAD;Luis Monteiro da Silva;160/SCC;16/03/1994
10953;Cabo QCB SAD;Luis Octávio de Lima Ferreira;113/SC;22/02/2001
10954;Suboficial QSS SAD;Luis Otavio Pinheiro Nery;107/SC;25/02/2009
10955;Primeiro-Sargento QSS SAD;Luis Paulo De Oliveira;1.659/SCGC;21/12/2016
10956;Terceiro-Sargento QESA SAD;Luís Pontes das Chagas;90/SCC;22/02/1999
10957;Primeiro-Sargento QSS SAD;Luís Praxedes da Silva;931/SCC;12/12/1989
10958;Suboficial QSS BFT;Luís Ricardo Almeida Martins;161/SC;21/02/2003
10959;Suboficial QSS BFT;Luis Ricardo Aparecido Francisco;10/SCGC;10/01/2019
10960;Suboficial QSS BMA;Luis Roberto Albano;113/SCC;28/02/2000
10961;Suboficial QSS BET;Luís Roberto Cosme Semana;161/SC;21/02/2003
10962;Suboficial QSS BMA;Luis Roberto Flach;90/SCC;22/02/1999
10963;Suboficial QSS SEF;Luis Roberto Monteiro;130/SCGC;03/02/2014
10964;Suboficial QSS BEV;Luis Roberto Salvador;107/SC;25/02/2009
10965;Segundo-Sargento SAD;Luis Rodrigo Franklin da Silva;81/SC;07/02/2011
10966;Suboficial QSS BMA;Luís Rodrigues Barbosa;1172/SCC;15/12/1987
10967;Cabo QCB SAD;Luis Rossini Chaves Burger;141/SC;19/02/2002
10968;Taifeiro de Primeira Classe QTA TVA;Luis Sérgio de Souza Pinto;160/SCC;16/03/1994
10969;Primeiro-Sargento de Material Bélico;Luis Soares Cavalcante Junior;81/SC;07/02/2011
10970;Suboficial SAD ;Luis Ubirajara Pecker;90/SCC;22/02/1999
10971;Suboficial QSS BMB;Luís Vitalino dos Santos;116/SCC;20/01/1984
10972;Cabo QCB SAD;Luismar Lino do Nascimento;931/SCC;12/12/1989
10973;Cabo QCB SAD;Luiz Adriano do Nascimento Minhaqui;189/SC;07/02/2013
10974;Segundo-Sargento QTA TCO;Luiz Adrião Rustice;189/SC;07/02/2013
10975;Primeiro-Sargento QSS BET;Luiz Airton Garavello;086/SCC;20/01/1983
10976;Primeiro-Sargento QSS BCO;Luiz Alberto Alves de Brito Junior;10/SCGC;10/01/2019
10977;Suboficial QSS BCO;Luiz Alberto Cabral;58/SC;14/02/2012
10978;Primeiro-Sargento (Mar);Luiz Alberto de Albuquerque;1172/SCC;15/12/1987
10979;Primeiro-Sargento QSS SAD;Luiz Alberto de Castro Lage;161/SC;21/02/2003
10980;Suboficial QSS SAD;Luiz Alberto de Oliveira Santos;086/SCC;20/01/1983
10981;Suboficial QSS BMA;Luiz Alberto de Souza;113/SCC;28/02/2000
10982;Suboficial QSS BMA;Luiz Alberto do Amaral Alves;80/SC;26/02/2008
10983;Cabo QCB SEM;Luiz Alberto dos Santos;193/SCC;20/02/1995
10984;Primeiro-Sargento QSS SAD;Luiz Alberto dos Santos Silva;58/SC;14/02/2012
10985;Taifeiro de Primeira Classe QTA TAR;Luiz Alberto Figueiredo Lopes;968-A/SCC;14/12/1990
10986;Suboficial QSS BMA;Luiz Alberto Fortes;247/SC;06/03/2006
10987;Suboficial QSS STP;Luiz Alberto Góes;870/SCC;20/12/1991
10988;Suboficial QSS SOB;Luiz Alberto Larré Barbosa;1172/SCC;15/12/1987
10989;Primeiro-Sargento QSS SAD;Luiz Alberto Livramento;931/SCC;12/12/1989
10990;Suboficial QSS SAD;Luiz Alberto Mendanha;931/SCC;12/12/1989
10991;Primeiro-Sargento QSS BMA;Luiz Alberto Pereira;841/SCC;01/12/1988
10992;Suboficial QSS BCO;Luiz Alberto Porto Cruz;247/SC;06/03/2006
10993;Suboficial QSS BMA;Luiz Alberto Rodrigues da Silva;98/SCC;18/02/1998
10994;Segundo-Sargento;Luiz Alberto Santiago Bittencourt;130/SCGC;03/02/2014
10995;Suboficial QSS SAD;Luiz Alberto Stelle;968-A/SCC;14/12/1990
10996;Suboficial QSS BMA;Luiz Alex de Souza;130/SCGC;03/02/2014
10997;Senhor;Luiz Alexandre da Cunha;81/SC;07/02/2011
10998;Capitão QOEA COM;Luiz Alexandre Martini;141/SC;19/02/2002
10999;Suboficial QSS SGS;Luiz Almir dos Santos Vieira;130/SCGC;03/02/2014
11000;Suboficial QSS BMA;Luiz Alves da Silva Filho;204/SC;22/02/2005
11001;Suboficial (AV-VN);Luiz Alves de Lima Filho;2/SCGC;06/01/2020
11002;Suboficial QSS BCO;Luiz Alves dos Santos;086/SCC;20/01/1983
11003;Primeiro-Sargento QSS SAD;Luiz Alves Muniz Júnior;113/SC;22/02/2001
11004;Senhor;Luiz Amaury Bina;051/SCC;26/02/1993
11005;Segundo-Tenente QOEA;Luiz Américo;1172/SCC;15/12/1987
11006;Segundo-Tenente QOEA;Luiz Amilton Oliveira;1057/SCC;20/12/1985
11007;Terceiro-Sargento QTA TAR;Luiz Andre da Silva;182/SCGC;18/02/2015
11008;Terceiro-Sargento QESA SGS;Luiz Antonio Alves;189/SC;07/02/2013
11009;Segundo-Sargento QSS BSP;Luiz Antônio Alves Guimarães;90/SCC;22/02/1999
11010;Segundo-Sargento QSS SAD;Luiz Antônio Alves Pereira;931/SCC;12/12/1989
11011;Terceiro-Sargento QESA SAD;Luiz Antonio Antunes Sobral;100/SCC;20/02/1997
11012;Primeiro-Sargento QSS BET;Luiz Antonio Azevedo dos Santos;10/SCGC;10/01/2019
11013;Cabo QCB SAD;Luiz Antônio Balan;1813/SCC;20/12/1984
11014;Suboficial QSS BSP;Luiz Antônio Baltar;870/SCC;20/12/1991
11015;Suboficial QSS BET;Luiz Antonio Baroni;100/SCC;20/02/1997
11016;Cabo QCB SGS;Luiz Antônio Bezerra Filho;106/SC;21/02/2007
11017;Suboficial QSS BMA;Luiz Antônio Carvalho;202/SC;18/02/2004
11018;Primeiro-Sargento QSS SOB;Luiz Antonio Costa Rocha;58/SC;14/02/2012
11019;Primeiro-Sargento QSS BCT;Luiz Antonio da Rosa Ribeiro;80/SC;26/02/2008
11020;Suboficial BEI;Luiz Antonio da Silva;80/SC;26/02/2008
11021;Segundo-Sargento (AV);Luiz Antonio de Meireles Saraiva;58/SC;14/02/2012
11022;Suboficial (OS);Luiz Antonio de Morais;130/SCGC;03/02/2014
11023;Suboficial QSS BSP;Luiz Antonio de Oliveira;247/SC;06/03/2006
11024;Senhor;Luiz Antônio de Oliveira;047/SCC;20/01/1981
11025;Suboficial QSS BEI;Luiz Antônio de Oliveira Nunes;106/SC;21/02/2007
11026;Taifeiro-Mor QTA TAR;Luiz Antônio de Souza;113/SC;22/02/2001
11027;Senhor;Luiz Antonio dos Santos;113/SC;22/02/2001
11028;Suboficial QSS SGS;Luiz Antonio dos Santos Leal;141/SC;19/02/2002
11029;Suboficial QSS BMB;Luiz Antonio Farias de Lima;161/SC;21/02/2003
11030;Terceiro-Sargento QESA SAD;Luiz Antônio Felisberto;113/SC;22/02/2001
11031;Suboficial QSS BEP;Luiz Antonio Felix de Carvalho;161/SC;21/02/2003
11032;Taifeiro de Segunda Classe QTA TAR;Luiz Antônio Freitas de Oliveira;160/SCC;16/03/1994
11033;Suboficial QSS BEP;Luiz Antônio Gomes;841/SCC;01/12/1988
11034;Suboficial QSS BET;Luiz Antônio Gomes da Silva;113/SC;22/02/2001
11035;Suboficial (AV-VN);Luiz Antonio Gregório;58/SC;14/02/2012
11036;Primeiro-Sargento QSS SML;Luiz Antonio Guci;160/SCC;16/03/1994
11037;Cabo QCB BSP;Luiz Antonio Guimarães;90/SCC;22/02/1999
11038;Suboficial QSS SMU;Luiz Antônio Guimarães;051/SCC;26/02/1993
11039;Suboficial QSS BMA;Luiz Antônio Jacques de Albernard;141/SC;19/02/2002
11040;Primeiro-Sargento SAD;Luiz Antonio Maimeri Junior;107/SC;25/02/2010
11041;Cabo QCB SAD;Luiz Antonio Marcondes;100/SCC;20/02/1997
11042;Senhor;Luiz Antonio Mathias Netto;100/SCC;20/02/1997
11043;Suboficial QSS BMA;Luiz Antonio Pessanha;189/SC;07/02/2013
11044;Suboficial QSS BMA;Luiz Antônio Pontes;1813/SCC;20/12/1984
11045;Suboficial QSS BMA;Luiz Antonio Povitzki Junior;161/SC;21/02/2003
11046;Senhor;Luiz Antonio Ribeiro dos Santos;182/SCGC;18/02/2015
11047;Cabo QCB SEM;Luiz Antônio Rodrigues da Costa;113/SCC;28/02/2000
11048;Segundo-Sargento QSS BCO;Luiz Antônio Rosa da Silva;092/SCC;20/01/1982
11049;Suboficial;Luiz Antônio Serra;130/SCGC;03/02/2014
11050;Senhor;Luiz Antonio Silva Merino;10/SCGC;10/01/2019
11051;Terceiro-Sargento QESA SGS;Luiz Antônio Venturini;202/SC;18/02/2004
11052;Suboficial BMA;Luiz Antonio Zanella;80/SC;26/02/2008
11053;Senhor;Luiz Araújo Filho;1194/SCC;15/12/1986
11054;Suboficial SEM;Luiz Augusto Cunha Araújo;107/SC;25/02/2010
11055;Primeiro-Sargento QSS SAD;Luiz Augusto dos Santos Martins;107/SC;25/02/2009
11056;Primeiro-Sargento QSS BMA;Luiz Augusto dos Santos Pereira;10/SCGC;10/01/2019
11057;Primeiro-Sargento QSS BEP;Luiz Augusto Gamboa;086/SCC;20/01/1983
11058;Suboficial QSS BMA;Luiz Augusto Ribeiro;106/SC;21/02/2007
11059;Senhor;Luiz Augusto Rosa;968-A/SCC;14/12/1990
11060;Cabo QCB SGS;Luiz Aurélio Correia Apolinário;160/SCC;16/03/1994
11061;Segundo-Sargento QSS SAD;Luiz Aurelio Varela de Lima;58/SC;14/02/2012
11062;Terceiro-Sargento QESA SAD;Luiz Batista Fraga;141/SC;19/02/2002
11063;Senhor;Luiz Belarmino da Silva Filho;048/SCC;18/01/1996
11064;Suboficial QSS BMB;Luiz Bragança;968-A/SCC;14/12/1990
11065;Suboficial QSS SDE;Luiz Caio Jukoski de Miranda;048/SCC;18/01/1996
11066;Terceiro-Sargento QC (BO);Luiz Cândido de Brito;116/SCC;20/01/1984
11067;Suboficial QSS SAD;Luiz Cândido de Souza;870/SCC;20/12/1991
11068;Suboficial QSS SAD;Luiz Cândido Rodrigues da Silva;841/SCC;01/12/1988
11069;Taifeiro-Mor QTA TAR;Luiz Cantarutti Sobrinho;1172/SCC;15/12/1987
11070;Primeiro-Sargento QSS BET;Luiz Carlos Almeida de Magalhães;6/SCGC;08/01/2018
11071;Suboficial QSS SAD;Luiz Carlos Alves;1194/SCC;15/12/1986
11072;Primeiro-Sargento QSS SGS;Luiz Carlos Bahia;968-A/SCC;14/12/1990
11073;Suboficial (AV-MV);Luiz Carlos Barbosa;204/SC;22/02/2005
11074;Suboficial QSS BEP;Luiz Carlos Barroso Lima;841/SCC;01/12/1988
