ORD;QUALIFICAÇÃO;AGRACIADO;PORTARIA;DATA
3470;Segundo-Sargento QSS BEI;Cláudio Manoel da Cunha;161/SC;21/02/2003
3471;Senhor;Cláudio Manoel da Silva;841/SCC;01/12/1988
3472;Terceiro-Sargento QESA SEL;Cláudio Marcelo Pietrantonio;10/SCGC;10/01/2019
3473;Terceiro-Sargento QSS SAD;Claudio Marcio da Silva;106/SC;21/02/2007
3474;Primeiro-Tenente QOEA GDS;Claudio Marcio de Azevedo Rabello;106/SC;21/02/2007
3475;Suboficial SEF;Claudio Marcio Rodrigues;81/SC;07/02/2011
3476;Suboficial QSS BEI;Claudio Marcio Silva da Silveira;130/SCGC;03/02/2014
3477;Suboficial QSS BMA;Cláudio Marcos Vieira Coimbra;113/SC;22/02/2001
3478;Suboficial QSS BSP;Claudio Martinho Antunes dos Santos;6/SCGC;08/01/2018
3479;Suboficial QSS BMA;Cláudio Martins de Oliveira;193/SCC;20/02/1995
3480;Segundo-Sargento QTA TBA;Cláudio Máximo Bastos de Oliveira;189/SC;07/02/2013
3481;Cabo QCB BMA;Cláudio Mezzomo de Lima;141/SC;19/02/2002
3482;Suboficial BCT;Claudio Mitiyashu Nakamura;81/SC;07/02/2011
3483;Primeiro-Sargento QSS SPV;Cláudio Mota dos Santos;189/SC;07/02/2013
3484;Suboficial QSS BMA;Cláudio Moutta;130/SCGC;03/02/2014
3485;Suboficial QSS BCO;Claudio Neto Pinheiro;247/SC;06/03/2006
3486;Suboficial QSS BMA;Claudio Nunes de Almeida Junior;161/SC;21/02/2003
3487;Terceiro-Sargento SAD;Claudio Osni Oliveira;107/SC;25/02/2010
3488;Primeiro-Sargento QSS BMA;Cláudio Pacheco Da Silva;1.659/SCGC;21/12/2016
3489;Primeiro-Sargento QSS BCO;Claudio Pereira da Fonseca;106/SC;21/02/2007
3490;Primeiro-Sargento QSS BMT;Claudio Pereira da Silva;58/SC;14/02/2012
3491;Segundo-Sargento QSS SAD;Claudio Pereira Dias;130/SCGC;03/02/2014
3492;Primeiro-Sargento QSS SAI;Claudio Pereira Gonzalez;107/SC;25/02/2009
3493;Suboficial (FN-IF);Claudio Pereira Macêdo;10/SCGC;10/01/2019
3494;Senhor;Cláudio Pereira Santa Catarina;2/SCGC;06/01/2020
3495;Primeiro-Sargento QSS SAD;Claudio Pereira Santos;202/SC;18/02/2004
3496;Suboficial QSS BMA;Cláudio Perroco;047/SCC;20/01/1981
3497;Segundo-Sargento SGS;Claudio Ramos Mayão;81/SC;07/02/2011
3498;Taifeiro-Mor QTA TAR;Cláudio Rangel de Oliveira;1172/SCC;15/12/1987
3499;Primeiro-Sargento de Artilharia;Cláudio Renato da Silva Silveira;161/SC;21/02/2003
3500;Cabo QCB SAD;Claudio Renato Ludvig;80/SC;26/02/2008
3501;Senhor;Claudio Roberto Gonçalves Lira;81/SC;07/02/2011
3502;Primeiro-Sargento QSS SAD;Cláudio Roberto Rafael Nunes;247/SC;06/03/2006
3503;Suboficial QSS BET;Cláudio Roberto Soares de Oliveira;141/SC;19/02/2002
3504;Senhor;Claudio Rodolfo dos Santos;130/SCGC;03/02/2014
3505;Terceiro-Sargento BCO;Cláudio Rodrigues Calderano;80/SC;26/02/2008
3506;Suboficial QSS BMA;Claudio Rodrigues Nazareth;189/SC;07/02/2013
3507;Segundo-Sargento TAR;Cláudio Rosa de Oliveira;160/SCC;16/03/1994
3508;Capitão;Claudio Sacramento;100/SCC;20/02/1997
3509;Senhor;Cláudio Santos da Silva;202/SC;18/02/2004
3510;Suboficial QSS BEI;Claudio Schettino de Oliveira;204/SC;22/02/2005
3511;Cabo QCB SEM;Cláudio Sebastião Ferreira Martins;1057/SCC;20/12/1985
3512;Cabo QCB SAD;Cláudio Sebastião Medeiros de Andrade;113/SC;22/02/2001
3513;Primeiro-Tenente QOEA SVA;Cláudio Sergio do Nascimento;141/SC;19/02/2002
3514;Primeiro-Sargento QSS SAD;Claudio Silva de Oliveira;113/SC;22/02/2001
3515;Terceiro-Sargento QTA TAR;Claudio Soares de Macedo;182/SCGC;18/02/2015
3516;Cabo QCB SAD;Cláudio Souza Arantes;90/SCC;22/02/1999
3517;Primeiro-Sargento QSS SMU;Claudio Souza Menezes;130/SCGC;03/02/2014
3518;Suboficial QSS BMA;Cláudio Tadeu Rodrigues Ribeiro;98/SCC;18/02/1998
3519;Senhor;Claudio Teixeira;130/SCGC;03/02/2014
3520;Terceiro-Sargento QCB BEV;Claudio Teodosio do Nascimento;2/SCGC;06/01/2020
3521;Suboficial QSS BMA;Cláudio Vieira Crisóstomo;204/SC;22/02/2005
3522;Suboficial BMA;Cláudio Vizo Fernandez;81/SC;07/02/2011
3523;Suboficial QSS SML;Claudio Waldir Wariss de Alencar;2/SCGC;06/01/2020
