QUALIFICAÇÃO;NOME;PORTARIA;DATA
Segundo-Sargento QE;Adão Peres de Quinta;10/SCGC;10/01/2019
Suboficial QSS SAD;Adão Reis de Magalhães;1172/SCC;15/12/1987
Suboficial QSS SMU;Adão Rodrigues Viana;189/SC;07/02/2013
Primeiro-Sargento QSS SEF;Adão Sadi Ritzel;1813/SCC;20/12/1984
Senhor;Adão Silveira da Silva;092/SCC;20/01/1982
Suboficial QSS BCO;Adão Soli Moutinho;091/SCC;20/01/1980
Terceiro-Sargento QESA SAD;Adaumir Rodrigues de Santana;161/SC;21/02/2003
Segundo-Sargento QSS BMA;Adauto de Carvalho Guimarães;113/SC;22/02/2001
Primeiro-Sargento QSS SAD;Adauto de Freitas Moreira;204/SC;22/02/2005
Suboficial QSS BEI;Adauto Tesser;193/SCC;20/02/1995
Primeiro-Sargento QSS BET;Addson Pereira Anastacio;6/SCGC;08/01/2018
Terceiro-Sargento QESA SGS;Adedi Paulo dos Santos;161/SC;21/02/2003
Terceiro-Sargento QESA SAD;Adeigi Abadio Pereira;106/SC;21/02/2007
Primeiro-Sargento QSS BCT;Adeilson Alves da Silva;6/SCGC;08/01/2018
Cabo QCB SOB;Adeilto Rodrigues Nogueira;81/SC;07/02/2011
Primeiro-Sargento QSS SAD;Adeilton Rodrigues Costa;6/SCGC;08/01/2018
Primeiro-Tenente QOEA CTA;Adejalmo Zucheto;161/SC;21/02/2003
Suboficial QSS BMA;Adelair Augusto Ribeiro;1813/SCC;20/12/1984
Suboficial QSS SEF;Adelermo Miguez Filho;870/SCC;20/12/1991
Senhora;Adélia Ataíde Queiroz;182/SCGC;18/02/2015
Senhora;Adelina Ferreira Lima de Moura;968-A/SCC;14/12/1990
Senhor;Adelino Álvaro de Moraes;092/SCC;20/01/1982
Suboficial QSS BET;Adelino Auto de Jesus;202/SC;18/02/2004
Senhor;Adelino Martins;968-A/SCC;14/12/1990
Suboficial QSS SAD;Adelino Mota Pereira;047/SCC;20/01/1981
Suboficial (AV-MV);Adelmar Celestino Prasser;106/SC;21/02/2007
Cabo QCB BSP;Adelmar da Costa Júnior;051/SCC;26/02/1993
Suboficial QSS SEL;Adelmar Fonseca da Silva;98/SCC;18/02/1998
Suboficial QSS BMA;Adelmar Souza da Cruz;6/SCGC;08/01/2018
Suboficial SAD;Adelmo Coelho Duarte;107/SC;25/02/2010
Senhor;Adelmo Martins Santos;113/SCC;28/02/2000
Subtenente de Infantaria;Adelpe Henrique de Araújo;107/SC;25/02/2009
Terceiro-Sargento QESA SGS;Adelson da Silva Ferreira;160/SCC;16/03/1994
