QUALIFICAÇÃO;NOME;PORTARIA;DATA
Subtenente de Cavalaria;Jarbas Alberto Dias;81/SC;40581
Capitão QOEA;Jarbas Aparecido Claudino;841/SCC;32478
Suboficial QSS SAD;Jarbas Augusto da Silva;160/SCC;34409
Suboficial QSS SGS;Jarbas Cabral Cecin;193/SCC;34750
Subtenente de Infantaria;Jarbas Campos Gomes;2/SCGC;43836
Suboficial QSS BET;Jarbas Carneiro Taboza;968-A/SCC;33221
Suboficial QSS SGS;Jarbas Costa de Paula;870/SCC;33592
Suboficial SDE;Jarbas de Jesus Rosa;81/SC;40581
Suboficial QSS BEI;Jarbas Sebastião de Oliveira;189/SC;41312
Primeiro-Sargento QSS BCO;Jarbas Serigatti;047/SCC;29606
Suboficial QSS BCO;Jarbas Veloso da Silva;968-A/SCC;33221
Terceiro-Sargento QTA TCO;Jardel Bandeira da Silva Pontes;6/SCGC;43108
Segundo-Sargento QSS SGS;Jardel Souza Rodrigues;2/SCGC;43836
Suboficial QSS SAD;Jarian Alves de Albuquerque;870/SCC;33592
Primeiro-Sargento QSS SAD;Jarlayne de Souza Lima;182/SCGC;42053
Segundo-Sargento QSS BSP;Jarlei de Oliveira da Silva;2/SCGC;43836
Segundo-Sargento QSS SGS;Jarnélio Leite Gomes Vital;091/SCC;29240
Subtenente de Comunicações;Jason Carlos Munhé;107/SC;40234
Terceiro-Sargento QC (SU);Jason Quaresma da Silva;086/SCC;30336
Cabo QCB BEI;Jason Ramos;98/SCC;35844
Segundo-Sargento QTA TAR;Jassonilton Izidoro da Silva;189/SC;41312
Suboficial QSS BCT;Jayme Costa;1194/SCC;31761
Segundo-Sargento SAD ;Jayme Della Colleta;160/SCC;34409
Senhor;Jayme Fernandes;110/SCC;29248
Taifeiro-Mor QTA TAR;Jayme Ferreira;091/SCC;29240
Senhor;Jayme França Queirós;091/SCC;29240
Senhor;Jayme Galvão Costa;193/SCC;34750
Taifeiro de Primeira Classe QTA TVA;Jayme Mamede de Freitas;98/SCC;35844
Terceiro-Sargento QC (FI);Jayme Moreira Guedes;116/SCC;30701
Suboficial QSS BMA;Jayme Pereira de Mendonça;116/SCC;30701
Senhor;Jayme Ribeiro Pereira;106/SC;39134
Primeiro-Sargento QSS BET;Jayme Tavares Emidio Junior;1.659/SCGC;42725
Suboficial QSS SEM;Jayme Vieira de Andrade;092/SCC;29971
Primeiro-Sargento QSS SEM;Jayro Rocha;086/SCC;30336
Segundo-Sargento BMA;Jayson Rodrigues da Silva Lima;19/SCGC;44207
Capitão QOEA;Jaziel Pereira da Silva;1057/SCC;31401
Primeiro-Sargento BET;Jeam Panza;81/SC;40581
Cabo (ES);Jean Barros do Nascimento;106/SC;39134
Suboficial ARM;Jean Carlo da Silva Cardoso;2/SCGC;43836
Suboficial QSS BET;Jean Carlos Alves Costa;58/SC;40953
Segundo-Sargento QSS SAD;Jean Carlos de Mattos Trindade;968-A/SCC;33221
Segundo-Sargento QSS SML;Jean Carlos Neri Cardoso;2/SCGC;43836
Primeiro-Sargento QSS BCT;Jean Carlos Tavares Dantas;2/SCGC;43836
Soldado BM (MT);Jean Damacena Santos;107/SC;40234
