QUALIFICAÇÃO;NOME;PORTARIA;DATA
Cabo QCB SAD;Aetes Fonseca Dantas;193/SCC;34750
Primeiro-Tenente QOEA;Affonso Ragnev;1813/SCC;31036
Suboficial QSS BEI;Afonso Celso Silva de Souza;130/SCGC;41673
Suboficial QSS SAD;Afonso Darci Carvalho de Azevedo;1194/SCC;31761
Suboficial SGS;Afonso de Jesus Da Silva;19/SCGC;44207
Suboficial QSS BSP;Afonso Guimarães;160/SCC;34409
Taifeiro-Mor QTA TAR;Afonso Kuklik;086/SCC;30336
Suboficial QSS SAD;Afonso Luiz da Rocha Cunha;106/SC;39134
Suboficial QSS SAD;Afonso Maria da Silva;160/SCC;34409
Suboficial QSS BMA;Afonso Tito de Mello dos Santos;58/SC;40953
Suboficial QSS BET;Afralio Da Gloria Moreira;1.659/SCGC;42725
Suboficial QSS BCO;Afrânio Benzaquem de Souza;092/SCC;29971
Primeiro-Sargento QSS SAD;Afranio de Mello Silva;141/SC;37306
Primeiro-Sargento QSS BEI;Afranio Do Nascimento Furtado;1.659/SCGC;42725
Subtenente de Saúde;Afrânio Guimarães Miranda;204/SC;38405
Suboficial QSS BCT;Afrânio Nogueira Guimarães;047/SCC;29606
Terceiro-Sargento QTA TBA;Agaci Batista Ramos;202/SC;38035
Senhor;Agamenon Silva Viana;048/SCC;35082
Primeiro-Sargento QSS SAD;Agamenon Vieira Bernardes da Silva;1172/SCC;32126
Taifeiro de Primeira Classe QTA TCO;Agenário Sampaio dos Reis;1172/SCC;32126
Primeiro-Sargento QSS SAD;Agenor Antonio do Nascimento Neto;29/SCGC;29/01/2016
Primeiro-Sargento QSS SAD;Agenor de Castilho Brandão Neto;047/SCC;29606
Senhor;Agenor de Figueiredo Junior;247/SC;38782
Primeiro-Sargento QSS BMA;Agenor dos Santos Mattoso;047/SCC;29606
Senhor;Agenor Gomes Queiroz;968-A/SCC;33221
Segundo-Sargento QSS SEF;Agenor Guilherme de Sobral;116/SCC;30701
Segundo-Sargento TBA;Agenor Mendes da Silva Filho;107/SC;40234
Suboficial QSS BET;Agenor Ribeiro de Carvalho Júnior;29/SCGC;29/01/2016
Suboficial QSS BMA;Agenor Rodrigues de Macedo;160/SCC;34409
Suboficial QSS BET;Ageu Feitosa de Lima;141/SC;37306
Senhor;Agildo Bezerra Guimarães;051/SCC;34026
Suboficial QSS SEL;Agildo Nunes Bezerra;931/SCC;32854
Suboficial QSS SML;Agliberto Fernandes de Macedo;202/SC;38035
Segundo-Sargento (Ex);Agnaldo Batista Vieira;931/SCC;32854
Suboficial QSS BMT;Agnaldo Borges Ramos;870/SCC;33592
Senhor;Agnaldo das Chagas Gomes;106/SC;39134
Primeiro-Sargento QSS SAD;Agnaldo Ferreira da Silva Katayama;80/SC;39504
