QUALIFICAÇÃO;NOME;PORTARIA;DATA
Suboficial QSS BCO;Antonio Carlos da Costa Viegas;182/SCGC;42053
Cabo QCB SAD;Antonio Carlos da Rocha;870/SCC;33592
Taifeiro de Primeira Classe QTA TVA;Antonio Carlos da Silva;90/SCC;36213
Capitão QOEA MET ;Antônio Carlos da Silva;048/SCC;35082
Primeiro-Sargento QSS BEV;Antônio Carlos da Silva;1194/SCC;31761
Segundo-Sargento QSS SAD;Antonio Carlos da Silva Bentes;58/SC;40953
Suboficial QSS BMA;Antonio Carlos Da Silva Guerra;1.659/SCGC;42725
Suboficial QSS BCO;Antonio Carlos da Silva Haag;193/SCC;34750
Suboficial BET;Antonio Carlos da Silva Marrafa;107/SC;40234
Suboficial QSS BCT;Antônio Carlos da Silva Mendes;98/SCC;35844
Suboficial SAD;Antonio Carlos da Silva Vianna;81/SC;40581
Suboficial QSS BMT;Antônio Carlos Daumas;968-A/SCC;33221
Suboficial TCO;Antonio Carlos de Andrade;107/SC;40234
Suboficial QSS BMA;Antônio Carlos de Andrade Queiroz;113/SC;36944
Segundo-Sargento SAD;Antonio Carlos de Lima Bastos;81/SC;40581
Terceiro-Sargento QC (VA);Antônio Carlos de Moraes;092/SCC;29971
Suboficial QSS SEF;Antônio Carlos de Moraes Primo;113/SC;36944
Cabo QCB SGS;Antônio Carlos de Oliveira;1813/SCC;31036
Suboficial QSS BCO;Antonio Carlos de Oliveira Filho;130/SCGC;41673
Terceiro-Sargento QTA TVA;Antonio Carlos de Sousa Machado;931/SCC;32854
Senhor;Antônio Carlos de Souza;202/SC;38035
Primeiro-Sargento QSS BMT;Antônio Carlos de Souza;1057/SCC;31401
Taifeiro-Mor QTA TAR;Antônio Carlos de Souza;968-A/SCC;33221
Suboficial QSS BCT;Antônio Carlos de Souza II;161/SC;37673
Suboficial QSS BCT;Antonio Carlos de Souza Quintanilha;29/SCGC;29/01/2016
Senhor;Antonio Carlos Dias;100/SCC;35481
Suboficial QSS SGS;Antônio Carlos Dias Martins;161/SC;37673
Suboficial QSS BCO;Antônio Carlos Dias Torres;870/SCC;33592
Suboficial QSS BSP;Antonio Carlos do Carmo;1172/SCC;32126
Cabo QCB SAD;Antonio Carlos do Nascimento;100/SCC;35481
Primeiro-Sargento BET;Antonio Carlos do Nascimento;81/SC;40581
Suboficial QSS BMA;Antonio Carlos dos Santos;048/SCC;35082
Suboficial QSS BMA;Antonio Carlos dos Santos;182/SCGC;42053
Suboficial QSS BMB;Antônio Carlos dos Santos Macias;051/SCC;34026
Terceiro-Sargento SMU;Antonio Carlos dos Santos Queiroz;81/SC;40581
Senhor;Antonio Carlos Fameli;141/SC;37306
Terceiro-Sargento SAD;Antonio Carlos Ferreira de Aguiar;19/SCGC;44207
Cabo QCB SEM;Antonio Carlos Ferreira Vieira;1813/SCC;31036
Primeiro-Sargento QSS BSP;Antonio Carlos Filizola;870/SCC;33592
Cabo QCB SAD;Antonio Carlos França Vieira;113/SC;36944
Primeiro-Sargento QTA TAR;Antonio Carlos Galvão da Silva;107/SC;39869
Suboficial QSS BET;Antonio Carlos Garcia;870/SCC;33592
Suboficial QSS BMT;Antônio Carlos Góes;968-A/SCC;33221
Primeiro-Sargento SOB;Antonio Carlos Gomes;107/SC;40234
Suboficial QSS BEI;Antônio Carlos Gomes da Silva;182/SCGC;42053
Primeiro-Sargento QSS SGS;Antonio Carlos Gomes Melo;10/SCGC;43475
Senhor;Antonio Carlos Gomes Pinheiro;29/SCGC;29/01/2016
Primeiro-Sargento QSS BMT;Antonio Carlos Gomes Souza;2/SCGC;43836
Suboficial BMT;Antonio Carlos Laio;107/SC;40234
Suboficial QSS BCO;Antonio Carlos Leite;160/SCC;34409
Suboficial QSS BCT;Antônio Carlos Lima Peeters;90/SCC;36213
Senhor;Antônio Carlos Lindman;051/SCC;34026
Suboficial QSS SML;Antônio Carlos Lopes;161/SC;37673
Capitão QOEA;Antonio Carlos Lucas;160/SCC;34409
Suboficial QSS BMA;Antonio Carlos Marques;29/SCGC;29/01/2016
Segundo-Sargento QSS BEI;Antônio Carlos Martins da Silva Vinhas;100/SCC;35481
Cabo QCB SAD;Antonio Carlos Martins Monteiro;870/SCC;33592
Taifeiro de Segunda Classe QTA TAR;Antônio Carlos Mendes Macedo;092/SCC;29971
Primeiro-Sargento QSS SAD;Antonio Carlos Mendonca;193/SCC;34750
Segundo-Sargento QSS SAD;Antonio Carlos Mendonça;58/SC;40953
Primeiro-Sargento QSS BSP;Antônio Carlos Miranda Cavaleiro;931/SCC;32854
Suboficial QSS BSP;Antônio Carlos Moraes Reis;931/SCC;32854
Primeiro-Sargento QSS SGS;Antônio Carlos Moreira Santana;931/SCC;32854
Primeiro-Tenente QOEAV  ;Antônio Carlos Neves Costa;247/SC;38782
Suboficial QSS SGS;Antônio Carlos Nunes de Souza;247/SC;38782
Terceiro-Sargento;Antonio Carlos Oliveira dos Santos;141/SC;37306
Cabo QCB SAD;Antonio Carlos Paes;58/SC;40953
Terceiro-Sargento;Antonio Carlos Pereira;81/SC;40581
Cabo QCB BMB;Antonio Carlos Pereira da Cruz;100/SCC;35481
Terceiro-Sargento QSS SAD;Antônio Carlos Pinheiro Peres;202/SC;38035
Cabo QCB BMA;Antonio Carlos Pinto;98/SCC;35844
Primeiro-Sargento QSS SEL;Antônio Carlos Pinto Paulista;116/SCC;30701
Suboficial QSS SAD;Antônio Carlos Queiróz de Oliveira;1194/SCC;31761
Suboficial QSS BSP;Antonio Carlos Rodrigues de Oliveira;182/SCGC;42053
Cabo QCB BMA;Antônio Carlos Rosa de Castro;047/SCC;29606
Suboficial QSS BCO;Antonio Carlos Rossi de Miranda;204/SC;38405
Suboficial QSS BCT;Antônio Carlos Santos da Rocha;204/SC;38405
Suboficial QSS BMA;Antonio Carlos Santos de Miranda;107/SC;39869
Primeiro-Sargento QSS BEV;Antonio Carlos Santos de Oliveira;182/SCGC;42053
Primeiro-Sargento QSS SAD;Antonio Carlos Sardinha dos Santos;141/SC;37306
Primeiro-Sargento QSS SAD;Antônio Carlos Scheffer de Lima;870/SCC;33592
Suboficial QSS BEI;Antonio Carlos Senhorinha;2/SCGC;43836
Subtenente de Intendência;Antônio Carlos Soares;202/SC;38035
Suboficial QSS BMB;Antonio Carlos Souza Conceição;160/SCC;34409
Suboficial QSS BMA;Antônio Carlos Teixeira dos Santos;100/SCC;35481
Suboficial QSS BET;Antonio Carlos Torres;160/SCC;34409
Suboficial QSS BCT;Antônio Carlos Vieira e Silva;204/SC;38405
Suboficial QSS SEF;Antônio Carneiro de Albuquerque;051/SCC;34026
Suboficial QSS BCO;Antônio Carneiro de Oliveira;086/SCC;30336
Suboficial QSS BCO;Antônio Carvalho Dutra;161/SC;37673
Suboficial QSS BMA;Antônio Casellas Servera;106/SC;39134
Cabo QCB BCO;Antonio Catarino dos Santos Filho;107/SC;40234
Suboficial QSS BMA;Antonio Celio Monteiro;247/SC;38782
Major QOEFOT;Antônio Célio Pereira de Mesquita;1057/SCC;31401
Suboficial QSS SAD;Antonio César Caldas Pinto;193/SCC;34750
Primeiro-Sargento QSS BCO;Antônio Cesar Cerqueira;086/SCC;30336
Suboficial QSS SAD;Antonio Cesar de Abrêu Rodrigues;204/SC;38405
Cabo QCB SAD;Antonio Cesar Maciel;202/SC;38035
Suboficial QSS BET;Antônio César Pukall;113/SCC;36584
Suboficial QSS SAD;Antônio Ciryno de Castilho;841/SCC;32478
Terceiro-Sargento;Antonio Claret Sandi;81/SC;40581
Cabo RM1 (AR);Antônio Cláudio Affonso da Silva;6/SCGC;43108
Capitão;Antonio Cláudio de França Osório;1813/SCC;31036
Subtenente de Material Bélico;Antonio Claudio Medeiros de Andrade;107/SC;39869
Segundo-Sargento QSS SAD;Antônio Consolação de Sena;113/SCC;36584
Senhor;Antônio Constantino Carraro;100/SCC;35481
Taifeiro de Primeira Classe QTA TCO;Antônio Cordeiro de Oliveira;841/SCC;32478
Suboficial QSS BEV;Antônio Costa Neto;051/SCC;34026
Segundo-Sargento SEM;Antonio Credinaldo de Carvalho;81/SC;40581
Cabo QCB BMB;Antonio Cuzziol dos Anjos;58/SC;40953
Cabo QCB SAD;Antonio da Conceição;90/SCC;36213
Suboficial QSS BMT;Antônio da Conceição Marinho;247/SC;38782
Suboficial QSS SEM;Antonio da Graça Candeira Dias;160/SCC;34409
Senhor;Antonio da Paixão Pereira de Oliveira;107/SC;39869
Primeiro-Sargento QSS BSP;Antônio da Rocha Domingues;1172/SCC;32126
Cabo QCB SEM;Antônio da Silva;160/SCC;34409
Segundo-Sargento QSS SGS;Antonio da Silva Braga;048/SCC;35082
Primeiro-Sargento QSS SGS;Antonio da Silva Costa Sobrinho;193/SCC;34750
Primeiro-Tenente QOEA;Antônio da Silva Gonçalves;841/SCC;32478
Suboficial QSS BMA;Antônio da Silva Moreira;116/SCC;30701
Suboficial QSS BMA;Antônio da Silva Nunes;968-A/SCC;33221
Suboficial ;Antonio da Silva Oliveira;80/SC;39504
Cabo QCB SAD;Antônio da Silva Toledo;047/SCC;29606
Suboficial QSS BEV;Antônio Dagoberto dos Santos Soares;90/SCC;36213
Suboficial QSS SDE;Antônio Damião Tavares;1172/SCC;32126
Suboficial QSS SEM;Antônio Daniel Mercúrio;968-A/SCC;33221
Suboficial QSS BMA;Antonio Dantas de Souza;1172/SCC;32126
Taifeiro-Mor QTA TCO;Antônio das Graças;841/SCC;32478
Senhor;Antônio das Graças Souza;113/SCC;36584
Suboficial QSS BMT;Antônio de Andrade Martins;091/SCC;29240
Primeiro-Tenente QOEA;Antônio de Araújo Villela;047/SCC;29606
Taifeiro-Mor QTA TCO;Antônio de Campos;047/SCC;29606
Suboficial QSS SGS;Antônio de Farias Madureiro;113/SCC;36584
Suboficial QSS SAD;Antônio de Jesus Baltar;048/SCC;35082
Suboficial QSS SOB;Antônio de Jesus Guimarães Garcês;092/SCC;29971
Senhor;Antonio de Melo;870/SCC;33592
Suboficial QSS SMU;Antônio de Melo de Albuquerque;116/SCC;30701
Primeiro-Sargento QSS SGS;Antonio de Oliveira;160/SCC;34409
Taifeiro-Mor QTA TBA;Antônio de Oliveira Castro;086/SCC;30336
Suboficial QSS BCO;Antonio de Oliveira Lucena;193/SCC;34750
Taifeiro de Primeira Classe QTA TAR;Antônio de Oliveira Marques;1172/SCC;32126
Suboficial QSS BET;Antônio de Pádua da Costa Ribeiro;98/SCC;35844
Senhor;Antonio de Pádua Leitão Barbosa;247/SC;38782
Suboficial QSS SGS;Antônio de Pádua Modesto da Silva;1813/SCC;31036
Primeiro-Sargento QSS BMA;Antonio de Pádua Moreira;160/SCC;34409
Suboficial QSS BET;Antônio de Pádua Nazareth Cardoso;870/SCC;33592
Suboficial QSS SEL;Antônio de Pádua Rocha;1172/SCC;32126
Senhor;Antonio de Paiva Filho;160/SCC;34409
Senhor;Antonio de Paula;90/SCC;36213
Primeiro-Sargento QSS BCT;Antônio de Sousa Filho;90/SCC;36213
Cabo QCB SAD;Antônio de Souza;051/SCC;34026
Suboficial Aer;Antônio Delácio Filho;086/SCC;30336
Suboficial QSS BEP;Antônio Demétrio Rodrigues de Andrade;161/SC;37673
Senhor;Antônio Dias Cavalcante;931/SCC;32854
Senhor;Antônio Dílson dos Anjos Gonçalves;931/SCC;32854
Suboficial QSS BCO;Antônio Diógenes Bessa;1194/SCC;31761
Suboficial QSS BMA;Antonio Diogenis Nunes Pereira;161/SC;37673
Primeiro-Tenente QOEA;Antônio do Nascimento Barreira;1194/SCC;31761
Senhor;Antônio Domingos Corrêa;047/SCC;29606
Suboficial QSS BCO;Antônio Domingos Machado da Silva;968-A/SCC;33221
Suboficial BEV;Antônio Domingues da Silva Freitas;81/SC;40581
Terceiro-Sargento QC (VA);Antônio Dornelles Barcelos;047/SCC;29606
Suboficial QSS BMT;Antônio dos Anjos Barbosa;98/SCC;35844
Primeiro-Sargento QSS SAI;Antônio dos Reis Oliveira;106/SC;39134
Cabo QCB SEM;Antonio dos Reis Queiroz;58/SC;40953
Terceiro-Sargento QTA TAR;Antonio dos Santos;113/SCC;36584
Suboficial QSS BET;Antônio dos Santos;051/SCC;34026
Segundo-Sargento QTA TBA;Antônio dos Santos Abreu Neto;189/SC;41312
Taifeiro de Primeira Classe QTA TAR;Antônio dos Santos e Silva;047/SCC;29606
Suboficial QSS SAD;Antonio dos Santos Mello;58/SC;40953
Suboficial QSS BMA;Antônio dos Santos Rios;1813/SCC;31036
Segundo-Sargento QTA TAR;Antônio dos Santos Torres Filho;048/SCC;35082
Suboficial QSS SAD;Antônio Duarte Cerqueira Filho;1194/SCC;31761
Segundo-Sargento QSS SAD;Antônio Duarte Lage;091/SCC;29240
Primeiro-Sargento QSS SAD;Antonio Edi Martins;1172/SCC;32126
Primeiro-Sargento QSS SEL;Antonio Edilson Moura de Araujo;189/SC;41312
Suboficial QSS SEM;Antônio Eduardo Bianco;1813/SCC;31036
Suboficial QSS SAD;Antonio Eduardo Duarte Cruz;106/SC;39134
Suboficial QSS BCO;Antônio Eduardo Marques Osório;90/SCC;36213
Taifeiro-Mor QTA TAR;Antônio Eduardo Neto;1194/SCC;31761
Suboficial QSS SAD;Antônio Elbe Pereira;051/SCC;34026
Primeiro-Sargento (Portugal);António Eleutério Sucena do Carmo;193/SCC;34750
Cabo QCB SGS;Antônio Elias Barbosa Filho;047/SCC;29606
Suboficial QSS SAD;Antônio Elídio da Silva;968-A/SCC;33221
Suboficial QSS SAD;Antônio Emanoel Torres Ferreira;086/SCC;30336
Segundo-Tenente QOEA;Antônio Erasmi de Azevedo;116/SCC;30701
Suboficial QSS BMA;Antônio Ericson Paiva da Conceição;113/SC;36944
Segundo-Sargento SGS;Antonio Ernesto Paula;80/SC;39504
Senhor;Antonio Esteves de Andrade Neto;048/SCC;35082
Taifeiro de Primeira Classe QTA TVA;Antonio Euclides Fogolari;193/SCC;34750
Suboficial QSS BMB;Antônio Eulacir Aguiar;116/SCC;30701
Terceiro-Sargento QTA TCO;Antonio Eurípedes Rodrigues;161/SC;37673
Senhor;Antônio Eustáquio da Rocha;968-A/SCC;33221
Suboficial QSS BEP;Antonio Evanir Atz;048/SCC;35082
Segundo-Sargento QSS BCT;Antonio Feliciano da Silva Filho;58/SC;40953
Suboficial QSS SAD;Antônio Felício Matos;092/SCC;29971
Terceiro-Sargento QTA TCO;Antonio Felipe de Carvalho;113/SC;36944
Suboficial QSS BMA;Antonio Felippe Neman;6/SCGC;43108
Terceiro-Sargento QESA SGS;Antonio Felix Barbosa;107/SC;39869
Primeiro-Sargento QSS SML;Antônio Fernandes da Silva;100/SCC;35481
Suboficial QSS BMA;Antônio Fernandes Mendes;931/SCC;32854
Suboficial QSS BET;Antônio Fernandes Pereira de Souza;98/SCC;35844
Terceiro-Sargento QESA SAD;Antonio Fernando Aranha Seabra;90/SCC;36213
Cabo QCB SEM;Antônio Fernando Coelho da Cunha;1057/SCC;31401
Terceiro-Sargento QESA SAD;Antonio Fernando de Oliveira;107/SC;39869
Senhor;Antônio Fernando de Oliveira;841/SCC;32478
Suboficial QSS SAD;Antonio Fernando de Paulo;931/SCC;32854
Cabo QCB BCO;Antonio Fernando Lucas de Moura;141/SC;37306
Primeiro-Sargento QSS SAD;Antônio Fernando Uchôa Lessa;051/SCC;34026
Suboficial QSS BSP;Antônio Fernando Vieira;116/SCC;30701
Taifeiro-Mor QTA TCO;Antônio Ferreira de Melo;160/SCC;34409
Suboficial QSS SEM;Antônio Ferreira de Mendonça Neto;161/SC;37673
Suboficial QSS SAD;Antônio Fidelis de Souza;092/SCC;29971
Capitão;Antonio Flores da Silva;051/SCC;34026
Primeiro-Sargento QSS SST;Antônio Fonseca Casseb;1057/SCC;31401
Senhor;Antônio Fontes Santana;092/SCC;29971
Suboficial QSS BMA;Antonio França Cunha;870/SCC;33592
Senhor;Antônio França de Oliveira;113/SCC;36584
Suboficial QSS BMA;Antônio Francisco Catunda de Oliveira;113/SC;36944
Suboficial QSS BSP;Antonio Francisco da Costa Neto;160/SCC;34409
Contador;Antônio Francisco da Guirra;1057/SCC;31401
Taifeiro-Mor QTA TAR;Antonio Francisco da Rocha;160/SCC;34409
Senhor;Antonio Francisco da Silva;161/SC;37673
Suboficial QSS BMA;Antônio Francisco da Silva;092/SCC;29971
Primeiro-Sargento QSS SST;Antonio Francisco Ribeiro Silva;1.659/SCGC;42725
Senhor;Antônio Frazão;931/SCC;32854
Senhor;Antônio Freire Milhomens Netto;047/SCC;29606
Primeiro-Sargento QSS BMA;Antônio Frias Penhalvel;110/SCC;29248
Suboficial QSS SEL;Antônio Gabilan Filho;1057/SCC;31401
Suboficial QSS SEF;Antônio Galdino dos Santos;931/SCC;32854
Taifeiro-Mor QTA TAR;Antônio Galvano;968-A/SCC;33221
Senhor;Antônio Georgino Monteiro;931/SCC;32854
Terceiro-Sargento QSS BMA;Antonio Geraldo Ignacio;870/SCC;33592
Suboficial QSS SGS;Antonio Gerardo Chaves;193/SCC;34750
Suboficial QSS BMA;Antônio Gilberto Marques Bellaguarda;870/SCC;33592
Cabo QCB SEM;Antônio Gilson Couto Souza;113/SCC;36584
Suboficial QSS BMB;Antônio Glenio Larrossa de Bitencorte;1194/SCC;31761
Primeiro-Sargento QSS SAD;Antônio Gomes da Silva;870/SCC;33592
Suboficial QSS SAD;Antônio Gomes de Albuquerque;051/SCC;34026
Suboficial QSS SEM;Antônio Gomes de Medeiros;1194/SCC;31761
Suboficial QSS SEL;Antonio Gomes Neto;98/SCC;35844
Senhor;Antônio Gonçalves de Freitas;968-A/SCC;33221
Capitão;Antonio Gonçalves Matozo;048/SCC;35082
Suboficial QSS SAD;Antônio Gracindo de Oliveira;1194/SCC;31761
Suboficial QSS SGS;Antonio Guerra de Albuquerque Melo;204/SC;38405
Suboficial BET;Antonio Guilherme Chediak;19/SCGC;44207
Cabo QCB SEF;Antonio Hélio da Silva Freire;160/SCC;34409
Senhor;Antonio Henrique Silva de Oliveira;90/SCC;36213
Suboficial QSS BFT;Antônio Herculano da Silva;931/SCC;32854
Suboficial QSS SAD;Antônio Herculano da Silva Filho;968-A/SCC;33221
Suboficial QSS SGS;Antonio Herculano Lira da Rocha;1057/SCC;31401
Senhor;Antônio Hermes Gonçalves;091/SCC;29240
Suboficial QSS BMA;Antônio Higino Domingues Batalha;202/SC;38035
Primeiro-Tenente ;Antônio Hipólito de Jesus;968-A/SCC;33221
Capitão;Antônio Ireny de Melo;1172/SCC;32126
Suboficial QSS BMA;Antônio Írio Pscheidt;051/SCC;34026
Suboficial QSS SAD;Antonio Iris Carpes Lopes;051/SCC;34026
Suboficial QSS SDE;Antônio Ivan Rodrigues Barreto;141/SC;37306
Terceiro-Sargento QCB SAD;Antônio Jailton de Souza;100/SCC;35481
Cabo QCB SAD;Antonio Jair Alves Rodrigues;160/SCC;34409
Cabo QCB SEM;Antônio Jânio Nogueira Alves;90/SCC;36213
Subtenente de Aviação/Apoio;Antonio João da Silva de Sá;130/SCGC;41673
Suboficial QSS BMA;Antônio Joaquim da Silva;1194/SCC;31761
Capitão QOEA;Antônio Jorge Bezerra;091/SCC;29240
Primeiro-Sargento QSS BMA;Antônio Jorge Cataldo;931/SCC;32854
Suboficial QSS BET;Antônio Jorge da Silva;051/SCC;34026
Suboficial QSS SEM;Antônio Jorge de Freitas;086/SCC;30336
Suboficial QSS BEI;Antônio Jorge de Oliveira;98/SCC;35844
Suboficial QSS BEI;Antonio Jorge Lima da Rocha;247/SC;38782
Segundo-Sargento QSS SEL;Antônio Jorge Martins da Silva;968-A/SCC;33221
Suboficial QSS BSP;Antônio Jorge Moreira de Queiróz;98/SCC;35844
Segundo-Sargento QSS BCT;Antônio Jorge Soares de Souza;1813/SCC;31036
Taifeiro-Mor QTA TCO;Antônio José Barbosa;086/SCC;30336
Suboficial QSS SAD;Antônio José Bergamaschi Franceschina;051/SCC;34026
Taifeiro-Mor QTA TAR;Antônio José Borges;092/SCC;29971
Suboficial QSS BCO;Antônio José Campos Frota;98/SCC;35844
Suboficial QSS BCT;Antonio Jose Cardoso;90/SCC;36213
Primeiro-Sargento BMA;Antonio José Correia;80/SC;39504
Suboficial QSS BET;Antônio José da Silva;98/SCC;35844
Suboficial QSS SAD;Antônio José da Silva;841/SCC;32478
Suboficial QSS BMA;Antônio José de Araújo;1172/SCC;32126
Suboficial QSS SAD;Antônio José de Jesus Belém Leitão;98/SCC;35844
Suboficial QSS SMU;Antônio José de Melo Albuquerque;29/SCGC;29/01/2016
Suboficial QSS SOB;Antonio José de Souza;113/SC;36944
Suboficial QSS SDE;Antonio José de Souza Filho;193/SCC;34750
Segundo-Sargento QSS BMT;Antonio José do Espírito Santo;870/SCC;33592
Suboficial QSS BEV;Antonio José do Nascimento Filho;182/SCGC;42053
Cabo QCB BMA;Antônio José Gomes Martins;202/SC;38035
Senhor;Antonio Jose Machado;1.659/SCGC;42725
Senhor;Antônio José Machado de Castilho;204/SC;38405
Suboficial QSS BMT;Antônio José Monteiro;98/SCC;35844
Segundo-Sargento QSS SAD;Antonio José Soares da Silva;100/SCC;35481
Cabo QCB SEF;Antonio José Teles;113/SCC;36584
Primeiro-Sargento QSS BEV;Antônio Jurandyr de Sousa;968-A/SCC;33221
Cabo SDE;Antonio Lairis Moreira do Nascimento;6/SCGC;43108
Suboficial (ES);Antônio Leandro Paes;107/SC;39869
Capitão QOEA SVH;Antônio Lélis Filho;247/SC;38782
Suboficial QSS BEI;Antônio Lelis Gondim;968-A/SCC;33221
Suboficial QSS BCT;Antônio Lemanski;116/SCC;30701
Primeiro-Sargento QSS BMB;Antonio Lima da Silva;048/SCC;35082
Segundo-Sargento QSS SMU;Antônio Lima de Farias;051/SCC;34026
Primeiro-Sargento QSS SAD;Antonio Lima Porto;160/SCC;34409
Terceiro-Sargento QC (DT);Antônio Lino Barbosa Filho;091/SCC;29240
Suboficial QSS BMA;Antônio Lopes;1057/SCC;31401
Sargento-Mor;Antonio Lopes dos Santos;182/SCGC;42053
Senhor;Antonio Loterio Bueno;870/SCC;33592
Suboficial QSS BMA;Antonio Luciam Maranguape de Sá;048/SCC;35082
Suboficial QSS SDE;Antônio Lucivaldo Germano de Souza;1057/SCC;31401
Senhor;Antônio Luís Alves da Silva;202/SC;38035
Terceiro-Sargento QC (VA);Antônio Luiz;1057/SCC;31401
Segundo-Tenente QAO;Antonio Luiz Begotto Junior;6/SCGC;43108
Primeiro-Sargento QSS SGS;Antonio Luiz Cesar de Carvalho Junior;10/SCGC;43475
Cabo QCB BSP;Antonio Luiz da Costa Neto;113/SCC;36584
Primeiro-Sargento QSS SAD;Antônio Luiz De Almeida Da Cunha;1.659/SCGC;42725
Suboficial QSS SOB;Antonio Luiz de Oliveira;204/SC;38405
Suboficial BMA;Antonio Luiz Dionizio;81/SC;40581
Senhor;Antonio Luiz dos Santos;204/SC;38405
Primeiro-Sargento SAD;Antônio Luiz dos Santos;81/SC;40581
Suboficial QSS BEI;Antônio Luiz Lima Francisco;202/SC;38035
Cabo QCB SDE;Antonio Luiz Nascimento Santos;113/SC;36944
Segundo-Sargento QSS SAD;Antonio Luiz Vieira de Sousa;193/SCC;34750
Suboficial QSS BET;Antonio Macedo de Souza;870/SCC;33592
Suboficial QSS SAD;Antônio Machado de Oliveira;202/SC;38035
Senhor;Antônio Machado França;29/SCGC;29/01/2016
Senhor;Antonio Machado Vieira Neto;189/SC;41312
Cabo QCB SAD;Antônio Magnus Magalhães Moreira;113/SC;36944
Senhor;Antônio Manoel Barroso;1194/SCC;31761
Suboficial QSS BEI;Antonio Manoel Cristo Correa;58/SC;40953
Suboficial QSS SAD;Antonio Manuel Ferreira de Moura;247/SC;38782
Suboficial QSS BSP;Antonio Marcelo Filgueiras Dutra;202/SC;38035
Cabo QCB SEF;Antonio Marcelo Pereira dos Santos;193/SCC;34750
Suboficial QSS BCT;Antonio Márcio de Carvalho Doca;107/SC;39869
Suboficial QSS SAD;Antônio Marco Durans de Almeida;90/SCC;36213
Primeiro-Sargento QSS SGS;Antonio Marcondes da Silva Filho;870/SCC;33592
Primeiro-Sargento QSS BET;Antonio Marcos Batista da Silva;107/SC;39869
Cabo QCB SEM;Antônio Marcos da Silva;202/SC;38035
Primeiro-Sargento QSS SAD;Antônio Marcos Da Silva Ângelo;1.659/SCGC;42725
Primeiro-Sargento QSS SGS;Antonio Marcos da Silva de Almeida;29/SCGC;29/01/2016
Segundo-Sargento QSS SGS;Antonio Marcos Paes;107/SC;39869
Primeiro-Sargento QSS BSP;Antonio Marcus Costa da Silva;130/SCGC;41673
Suboficial QSS BMA;Antônio Maria Claret Conceição;90/SCC;36213
Suboficial QSS SAD;Antônio Mário Marques de Almeida;1172/SCC;32126
Suboficial QSS SAD;Antônio Marques Ferreira;051/SCC;34026
Suboficial QSS BMB;Antônio Marques Mota;202/SC;38035
Cabo QCB SGS;Antônio Marques Nunes;086/SCC;30336
Suboficial QSS BET;Antônio Martins da Silva Júnior;968-A/SCC;33221
Suboficial QSS BCO;Antônio Martins Pedra;051/SCC;34026
Suboficial QSS BMA;Antonio Mauricio Rodrigues Minervini;189/SC;41312
Terceiro-Sargento QE ;Antônio Mazola Menezes de Castro;107/SC;39869
Suboficial QSS BMT;Antônio Medanha de Oliveira;091/SCC;29240
Segundo-Sargento TAR;Antonio Melito Neto;19/SCGC;44207
Senhor;Antônio Mendes Rodrigues;1172/SCC;32126
Segundo-Sargento QSS SAD;Antônio Merivaldo de Carvalho;051/SCC;34026
Terceiro-Sargento QESA SEM;Antonio Messias Soares;193/SCC;34750
Suboficial QSS BEI;Antônio Miacci;98/SCC;35844
Suboficial QSS BEP;Antonio Miguel Boaventura;1172/SCC;32126
Terceiro-Sargento QTA TAR;Antônio Miguel de Oliveira;048/SCC;35082
Primeiro-Sargento QSS SAD;Antonio Milhomem de Souza Neto;1172/SCC;32126
Senhor;Antônio Miranda de Melo;047/SCC;29606
Suboficial QSS BMA;Antônio Neider Medina;086/SCC;30336
Terceiro-Sargento QC (RT);Antônio Nereu Hockmuller Carelli;1057/SCC;31401
Suboficial QSS SAD;Antônio Nerton Silva;051/SCC;34026
Cabo QCB BEP;Antonio Neto Alves Ribeiro;29/SCGC;29/01/2016
Suboficial QSS SML;Antônio Neves Ferreira;98/SCC;35844
Terceiro-Sargento QC (DT);Antônio Nobre Mafaldo;086/SCC;30336
Senhor;Antônio Nunes da Cruz;047/SCC;29606
Senhor;Antônio Nunes da Silva;086/SCC;30336
Taifeiro de Primeira Classe QTA TAR;Antônio Nunes da Silva;110/SCC;29248
Senhor;Antônio Nunes Machado;870/SCC;33592
Primeiro-Sargento QSS BMA;Antonio Oliveira Do Nascimento Lima;1.659/SCGC;42725
Senhor;Antônio Oliveira Marques;116/SCC;30701
Suboficial QSS BMA;Antonio Oss Menatti;841/SCC;32478
Senhor;Antônio Osvaldo Privati;116/SCC;30701
Senhor;Antonio Osvanir de Carvalho;6/SCGC;43108
Suboficial BCT ;Antônio Palmeira Lessa;048/SCC;35082
Capitão QOEA COM;Antonio Paredes Valiente;202/SC;38035
Primeiro-Sargento QSS BEP;Antônio Pascoal Moreira;091/SCC;29240
Suboficial QSS BEP;Antonio Paulo Alves do Nascimento;107/SC;39869
Segundo-Sargento QSS SAD;Antônio Paulo Araújo do Nascimento;047/SCC;29606
Terceiro-Sargento QESA SGS ;Antonio Paulo Ribeiro do Prado;161/SC;37673
Cabo QCB SAD;Antônio Pedro Araújo;051/SCC;34026
Primeiro-Sargento BCT;Antônio Pedro dos Santos Filho;81/SC;40581
Primeiro-Sargento QSS BCT;Antonio Pedro Gomes da Silva;130/SCGC;41673
Primeiro-Sargento QSS BSP;Antônio Pedro Mação;841/SCC;32478
Suboficial;Antônio Pedro Rodrigues Filho;161/SC;37673
