ORDEM DO MÉRITO AERONÁUTICO;;;;;;;
;;;;;;;
INSÍGNIAS - INSTITUIÇÕES;;;;;;;
;;;;;;;
(Atualizada até Novembro de 2024);;;;;;;
;;;;;;;
NR;SIGLA_ORG;DESCRIÇÃO;INSTITUICÃO;CATEG;DT_INSIG;DT_DOU;REG
109;DECEA;Departamento de Controle do Espaço Aéreo;Aeronáutica;Estandarte;26/09/2005;27/09/2005;9472
110;DECEX;Departamento de Educação e Cultura do Exército;Exército;Estandarte;21/10/2011;24/10/2011;
111;DEPENS;Departamento de Ensino da Aeronáutica;Aeronáutica;Estandarte;05/09/1988;20/09/1988;5308
112;DEPED;Departamento de Pesquisas e Desenvolvimento;Aeronáutica;Estandarte;23/09/1997;24/09/1997;7126
113;DCI;Depósito Central de Intendência;Aeronáutica;Estandarte;16/09/1986;22/09/1986;4937
114;DARJ;Depósito de Aeronáutica do Rio de Janeiro;Aeronáutica;Estandarte;16/09/1986;22/09/1986;4813
115;DTCEA SM;Destacamento de Controle do Espaço Aéreo de Santa Maria;Aeronáutica;Estandarte;21/10/2011;24/10/2011;
116;DIRAP;Diretoria de Administração do Pessoal;Aeronáutica;Estandarte;18/09/1991;25/09/1991;
117;DIRAERMAR;Diretoria de Aeronáutica da Marinha;Marinha;Estandarte;06/09/2004;08/09/2004;9232
118;DEPV;Diretoria de Eletrônica e Proteção ao Vôo;Aeronáutica;Estandarte;14/10/1992;15/10/1992;6264
119;DIRENG;Diretoria de Engenharia da Aeronáutica;Aeronáutica;Bandeira;18/08/1991;25/09/1991;
120;DIRINT;Diretoria de Intendência da Aeronáutica;Aeronáutica;Estandarte;21/09/1995;22/09/1995;
121;DIRMA;Diretoria de Material da Aeronáutica;Aeronáutica;Bandeira;18/09/1991;25/09/1991;
122;DIRSA;Diretoria de Saúde da Aeronáutica;Aeronáutica;Estandarte;07/10/1994;13/10/1994;
123;DSM;Diretoria de Saúde da Marinha;Marinha;Estandarte;30/09/2010;01/10/2010;11062
124;DGDNTM;Diretoria-Geral de Desenvolvimento Nuclear e Tecnológico da Marinha;Marinha;Estandarte;21/10/2022;21/10/2022;201
125;DGMM;Diretoria-Geral do Material da Marinha;Marinha;Estandarte;18/06/1968;22/09/2019;14263
126;DGN;DIRETORIA-GERAL DE NAVEGAÇÃO;Marinha;Estandarte;18/06/1968;;
127;DGPM;Diretoria-Geral do Pessoal da Marinha;Marinha;Estandarte;13/10/2020;14/10/2020;14571
128;DLR;DLR - Centro Aeroespacial Alemão;Governo da Alemanha;Bandeira;28/10/2013;28/10/2013;12111
129;EAer-Ex FR;Escola de Aeronáutica do Exército do Ar Francês;Exército Francês;Bandeira;22/04/1949;23/04/1949;104
130;EAer-UR;Escola de Aeronáutica do Uruguai;Força Aérea Uruguaia;Bandeira;03/09/1948;;70
131;EAOAR;Escola de Aperfeiçoamento de Oficiais da Aer.;Aeronáutica;Estandarte;20/10/1967;20/10/1967;1654
132;EACA;Escola de Artilharia de Costa e Antiaérea;Exército;Estandarte;05/09/1988;20/09/1988;5439
133;ECEMAR;Escola de Comando e Estado-Maior da Aeronáutica;Aeronáutica;Bandeira;09/10/1956;11/10/1956;398
134;EEAR;Escola de Especialistas de Aeronáutica;Aeronáutica;Estandarte;12/10/1955;15/10/1955;365
135;ECEME;Escola de Estado-Maior do Exército;Exército;Estandarte;25/04/1949;06/05/1949;133
136;EGN;Escola de Guerra Naval;Marinha;Bandeira;09/10/1956;11/10/1956;396
137;EIEsp-Ex;Escola de Instrução Especializada do Exército;Exército;Estandarte;16/09/1986;22/09/1986;4814
138;EOEIG;Escola de Oficiais-Esp. e de Infantaria de Guarda;Aeronáutica;Estandarte;14/10/1958;20/10/1958;583
139;ESA;Escola de Sargentos das Armas;Exército;Estandarte;23/09/1997;24/09/1997;7127
140;EMAv-CO;"Escola Militar de Av ""Marco Fidel Suarez"" Colômbia";Colômbia;Estandarte;03/03/1970;04/03/1970;1908
141;EN;Escola Naval;Marinha;Estandarte;02/10/1978;03/10/1978;3120
142;EPCAR;Escola Preparatória de Cadetes do Ar;Aeronáutica;Estandarte;14/10/1958;20/10/1958;582
143;ESD;Escola Superior de Defesa;Ministério da Defesa;Estandarte;21/10/2022;21/10/2022;201
144;ESG;Escola Superior de Guerra;Exército;Bandeira;16/10/1959;21/10/1959;635
145;EAS;Esquadrão Aeroterrestre de Salvamento;Aeronáutica;Estandarte;04/10/2007;05/10/2007;10001
146;EDA;Esquadrão de Demonstração Aérea;Aeronáutica;Estandarte;06/09/2004;08/09/2004;9233
147;EMCFA;Estado-Maior Conjunto das Forças Armadas;Ministério da Defesa;Estandarte;27/10/2013;27/10/2013;12105
148;EMAER;Estado-Maior da Aeronáutica;Aeronáutica;Bandeira;19/10/1970;19/10/1970;1910
149;EMA;Estado-Maior da Armada;Marinha;Estandarte;07/10/1994;13/10/1994;
